"Parameter","Probability","Label"
"prob[1]",0.468,"P(high LKB reduces perf. vs reference)"
"prob[2]",0.596,"P(med LHR reduces perf. vs reference)"
"prob[3]",0.214,"P(high LHR reduces perf. vs reference)"
"prob[4]",0.995,"P(neutral ONI reduces perf. vs reference)"
"prob[5]",0.956,"P(warm ONI reduces perf. vs reference)"
"prob[6]",0.504,"P(worst case reduces perf. vs reference)"
"prob[7]",0.04,"P(med LHR effect worse than neutral ONI)"
"prob[8]",0.063,"P(high LHR effect worse than neutral ONI)"
"prob[9]",0.008,"P(high LKB effect worse than neutral ONI)"
"prob[10]",0.173,"P(med LHR effect worse than warm ONI)"
"prob[11]",0.128,"P(high LHR effect worse than warm ONI)"
"prob[12]",0.1,"P(high LKB effect worse than warm ONI)"
