
Iterations = 70275:80250
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 400 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[1]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[2]   2.094e-08 1.119e-09 3.229e-11      0.000e+00
hr[3]   4.152e-07 1.429e-08 4.126e-10      0.000e+00
hr[4]   2.226e-07 5.426e-09 1.566e-10      0.000e+00
hr[5]   1.093e-05 1.169e-07 3.374e-09      1.164e-08
hr[6]   4.913e-06 2.152e-07 6.212e-09      2.615e-08
hr[7]   1.027e-06 5.772e-09 1.666e-10      0.000e+00
hr[8]   4.329e-07 1.678e-08 4.845e-10      0.000e+00
hr[9]   1.539e-06 4.689e-08 1.354e-09      0.000e+00
hr[10]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[11]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[12]  3.716e-05 0.000e+00 0.000e+00      0.000e+00
hr[13]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[14]  6.098e-04 0.000e+00 0.000e+00      0.000e+00
hr[15]  1.173e-04 0.000e+00 0.000e+00      0.000e+00
hr[16]  7.692e-04 0.000e+00 0.000e+00      0.000e+00
hr[17]  1.651e-03 0.000e+00 0.000e+00      0.000e+00
hr[18]  1.030e-04 0.000e+00 0.000e+00      0.000e+00
hr[19]  6.377e-04 0.000e+00 0.000e+00      0.000e+00
hr[20]  6.363e-05 0.000e+00 0.000e+00      0.000e+00
hr[21]  1.870e-04 0.000e+00 0.000e+00      0.000e+00
hr[22]  2.078e-05 0.000e+00 0.000e+00      0.000e+00
hr[23]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[24]  3.010e-04 0.000e+00 0.000e+00      0.000e+00
hr[25]  1.653e-02 0.000e+00 0.000e+00      0.000e+00
hr[26]  5.742e-03 0.000e+00 0.000e+00      0.000e+00
hr[27]  4.266e-05 9.339e-07 2.696e-08      1.015e-07
hr[28]  6.544e-04 8.519e-05 2.459e-06      8.836e-06
