[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 60250 
Thinning interval = 25 
             beta[1]       beta[2]      beta[3]       beta[4]      beta[5]       beta[6] mulogsummer[1,1] mulogsummer[2,1] mulogsummer[1,2]
  [1,] -0.1899026991 -0.0240866041 -0.475053808  0.2299624903 -0.100254792 -0.1510203602         49.39277         67.11783         38.93022
  [2,] -0.0814419489 -0.1598505798 -0.456651103  0.3834499582 -0.230881746 -0.1359290709         38.76373         43.01682         35.14722
  [3,] -0.1725452319 -0.1037355411 -0.678388208  0.3509006531 -0.127225438 -0.0391640419         33.81833         58.21709         44.35374
  [4,]  0.1154427027 -0.0378401958 -0.117763142  0.2265093985 -0.315636066 -0.1255545906         39.69451         44.86716         57.80884
  [5,] -0.1237371923  0.0029400725 -0.776438919  0.6492433532 -0.118656188 -0.1834638036         34.24552         34.01619         27.94819
  [6,] -0.2448853545  0.1267663058 -0.781079546  0.5245906408 -0.048414890 -0.1220180480         37.67402         47.33859         49.66723
  [7,] -0.3536680879  0.0755092512 -0.330059867  0.1567486143 -0.106966910 -0.1220878698         36.26548         31.67182         52.48464
  [8,] -0.1251431119 -0.0213573902 -0.240636652  0.1952104954 -0.334619745 -0.0539045487         45.92521         51.08213         54.82869
  [9,] -0.3592572029 -0.1039315045 -0.626104745  0.3263575899 -0.241331142 -0.0847986898         44.39864         55.60093         35.51677
 [10,] -0.3232115045 -0.1628923019 -0.778780083  0.3499333915 -0.276261515  0.0656982766         52.09795         43.72456         47.22531
 [11,] -0.2004612163 -0.1875296973 -0.225045892  0.0105967663 -0.068055072 -0.1205895602         28.53661         49.44303         46.22734
 [12,] -0.0673944693 -0.0190315767 -0.162911716  0.1509778539 -0.185308495 -0.0672391455         40.25633         33.45277         56.42937
 [13,] -0.6018851007 -0.1022860305 -1.214660377  0.5785148637 -0.258820929 -0.0099294365         32.55762         39.56490         45.67140
 [14,] -0.0598978715 -0.0566452345 -0.139872317  0.0588343683 -0.083629033 -0.1281986226         35.20161         32.19385         39.69030
 [15,] -0.1080398060 -0.1870937887 -0.630729765  0.2847219159 -0.113201135 -0.0621985720         26.01176         40.88261         41.44758
 [16,] -0.2588634329 -0.0235779523 -0.678174169  0.4065085494 -0.073459423 -0.0680784818         48.92305         46.25120         46.84474
 [17,]  0.0297489908 -0.0707509366 -0.342463322  0.4360792410 -0.188018583 -0.0972051967         35.48665         55.42325         43.85184
 [18,] -0.4268269166 -0.1054860581 -0.229653914 -0.2863637458 -0.149204154 -0.0291140766         33.40990         40.39876         29.76143
 [19,] -0.1161734492 -0.1027402978 -0.045836002 -0.0909669081 -0.097244879 -0.0558563828         23.51698         43.27328         37.15138
 [20,] -0.1449927843 -0.1234236577 -0.044195499 -0.1910827013 -0.441973549 -0.0373913778         38.38921         47.18027         44.25857
 [21,] -0.1847544235 -0.0948221767 -0.247505277  0.0067012427 -0.375148960  0.0111189837         26.62266         38.03177         37.01498
 [22,]  0.0357556679 -0.1126180097 -0.555568406  0.3890441012 -0.095123659 -0.1348840273         50.53268         38.64362         56.42984
 [23,] -0.3378821681 -0.1097613266 -0.767785550  0.3882811249 -0.365394029 -0.0820729230         35.31758         53.06032         54.04469
 [24,] -0.1655091011 -0.1253891242 -0.185479783  0.0437927884 -0.230177754  0.0073896266         42.29661         53.13899         46.99275
 [25,] -0.1755857559 -0.0208417086 -0.792998655  0.6322414166 -0.297558767 -0.1106549293         42.32910         46.55594         38.75637
 [26,]  0.0407896953 -0.0122885986 -0.166886509  0.2022629157 -0.181812780 -0.0647639601         25.80746         37.35271         36.83391
 [27,] -0.2646751795 -0.1120420724 -0.277785825  0.0729741273 -0.345718146  0.0862554502         27.30334         31.40896         35.60509
 [28,] -0.2545929160 -0.1951249494 -0.386417549  0.0270827099 -0.355567719  0.1532770999         42.28467         43.51487         67.93350
 [29,] -0.0196727006  0.0667747655 -0.192576213  0.3279248613 -0.239930872 -0.0403155501         36.29595         42.94415         38.29556
 [30,] -0.0688931427  0.0575410092 -0.430722772  0.3955666413 -0.230221912 -0.1508243657         32.89929         41.65639         42.27990
 [31,] -0.1313311958 -0.0312879813 -0.413685741  0.3205166382 -0.176548327 -0.0596999683         26.70282         48.71611         34.94105
 [32,] -0.4807878338 -0.2194027100 -0.578079338 -0.1446798726 -0.039492791 -0.0745936229         33.14939         52.61762         51.38030
 [33,] -0.4199653950 -0.0457180550 -0.276305656 -0.1523565759 -0.448212198  0.0276198850         30.27684         34.67155         34.93327
 [34,] -0.1117863579 -0.0756222766 -0.381467857  0.2317388240 -0.060116235 -0.1259312876         39.57458         41.51283         50.34762
 [35,] -0.3264188220 -0.2268445362 -0.331612312 -0.0800827262 -0.286883451 -0.0784292432         23.66600         26.68212         48.59500
 [36,] -0.2958912839 -0.1321070243  0.003782728 -0.3823332050 -0.291547792 -0.0999841905         33.23017         44.88370         51.84505
 [37,] -0.3512847491 -0.0393763695 -0.400045535  0.1979865887 -0.141200623 -0.0231466636         48.07091         32.56965         48.82966
 [38,] -0.0326490805 -0.0192213355 -0.517683495  0.3878563227  0.009604365 -0.1304029182         32.19520         49.49555         37.34383
 [39,] -0.1405909685 -0.1910606595 -0.971469385  0.7227638449 -0.223818896 -0.1168220501         32.42926         49.20623         43.27996
 [40,] -0.0590057201 -0.0950707313 -0.745880744  0.6299336104 -0.098049102 -0.0211418531         46.30028         46.71561         40.88951
 [41,] -0.1371908596 -0.1107027259 -0.504848296  0.3026169695 -0.205364169 -0.0612425501         37.27352         44.02700         40.51277
 [42,] -0.3710568106 -0.0268878956 -0.094732182 -0.3554756746 -0.214541542 -0.0863765169         40.08874         36.34011         46.25408
 [43,] -0.0990973249 -0.1975288253  0.084230083 -0.3473809850 -0.154850638 -0.1236015091         22.82903         44.66557         36.53416
 [44,] -0.2120088529  0.0874640695 -0.387426733  0.2830284603 -0.198160503 -0.1663136839         38.36007         41.28014         51.19894
 [45,] -0.0249771850 -0.2302865489 -0.347281957  0.1682715189 -0.276665737  0.0325859356         37.85569         54.13294         47.65508
 [46,] -0.0844244235  0.0256719770 -0.583438898  0.6085012687 -0.257930961 -0.0726453076         44.69968         48.59243         43.75429
 [47,] -0.3642020084 -0.1474131034 -0.296469948 -0.1885836854 -0.195127224 -0.0723289582         47.99948         47.01319         46.53234
 [48,] -0.2217414521 -0.0623773441 -0.468324154  0.2236306100 -0.125746112 -0.2172533505         33.42979         41.97364         45.02036
 [49,] -0.2939686889 -0.0580848442 -0.638691842  0.2950406857 -0.224335826  0.0559587221         48.91619         58.22737         59.49406
 [50,] -0.2142727046 -0.0437691375 -0.249389860 -0.0138997969 -0.244372492 -0.1156336263         37.16718         44.25692         46.69728
 [51,] -0.0217535882 -0.1257377201  0.014180222 -0.0229963644 -0.481816055 -0.0392497097         29.02109         23.79730         34.86549
 [52,] -0.4563730141 -0.1560771505 -0.339648811 -0.3385853868 -0.210590330 -0.0268069973         57.18976         57.93661         51.39774
 [53,] -0.0157622256 -0.1525275949 -0.415041127  0.3431066009 -0.083270024 -0.1893988990         48.35988         49.94589         63.57259
 [54,] -0.2991472648 -0.0449612239 -0.500272736  0.1429632040 -0.185454672 -0.1114053209         50.51952         63.50377         49.02896
 [55,] -0.0933500371 -0.0747334873 -0.562201862  0.4569365722 -0.015236886 -0.2035977940         46.15635         52.17940         49.33799
 [56,] -0.2694741403 -0.2321475230 -0.445210622  0.0754368098 -0.164844321 -0.0245471978         40.14750         57.79364         52.81373
