"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",6093501.913
"12",1614535.769
"13",2733918.233
"14",836319.9844
"15",3436631.285
"16",855465.41885
"17",227715.75805
"18",2349293.873
"19",84676.816365
"20",644320.7172
"21",1727537.629
"22",2742561.42
"23",4595927.25
"24",1391996.831
"25",441470.637
"26",2023423.2368
"27",NA
"28",NA
"29",NA
"30",NA
"31",13878476.36
"32",6119407.6285
"33",2568069.1165
"34",7868964.668
"35",2017997.8624
"36",951735.1568
"37",4519289.4865
"38",1073994.53755
"39",3058936.1525
"40",4073553.959
"41",8767749.102
"42",8812459.1515
"43",7397375.129
"44",1590915.753
"45",7023496.4
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",2733918.233
"52",836319.9844
"53",3436631.285
"54",855465.41885
"55",227715.75805
"56",2349293.873
"57",84676.816365
"58",644320.7172
"59",1727537.629
"60",2742561.42
"61",1391996.831
"62",441470.637
"63",2023423.2368
"64",NA
"65",NA
"66",6119407.6285
"67",2568069.1165
"68",7868964.668
"69",2017997.8624
"70",951735.1568
"71",4519289.4865
"72",1073994.53755
"73",3058936.1525
"74",4073553.959
"75",8812459.1515
"76",1590915.753
"77",7023496.4
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",6093501.913
"96",1614535.769
"97",2733918.233
"98",836319.9844
"99",3436631.285
"100",855465.41885
"101",227715.75805
"102",2349293.873
"103",84676.816365
"104",644320.7172
"105",1727537.629
"106",2742561.42
"107",4595927.25
"108",1391996.831
"109",441470.637
"110",2023423.2368
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",6093501.913
"118",1614535.769
"119",2733918.233
"120",836319.9844
"121",3436631.285
"122",855465.41885
"123",227715.75805
"124",2349293.873
"125",84676.816365
"126",644320.7172
"127",1727537.629
"128",2742561.42
"129",4595927.25
"130",1391996.831
"131",441470.637
"132",2023423.2368
"133",NA
"134",NA
"135",6119407.6285
"136",2568069.1165
"137",7868964.668
"138",2017997.8624
"139",951735.1568
"140",4519289.4865
"141",1073994.53755
"142",3058936.1525
"143",4073553.959
"144",8767749.102
"145",8812459.1515
"146",7397375.129
"147",1590915.753
"148",7023496.4
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",2568069.1165
"155",7868964.668
"156",2017997.8624
"157",951735.1568
"158",4519289.4865
"159",1073994.53755
"160",3058936.1525
"161",4073553.959
"162",8767749.102
"163",8812459.1515
"164",7397375.129
"165",1590915.753
"166",7023496.4
"167",NA
"168",NA
"169",NA
"170",NA
"171",NA
"172",644320.7172
"173",1727537.629
"174",2742561.42
"175",4595927.25
"176",441470.637
"177",2023423.2368
"178",NA
"179",NA
"180",6119407.6285
"181",2568069.1165
"182",7868964.668
"183",2017997.8624
"184",951735.1568
"185",4519289.4865
"186",1073994.53755
"187",3058936.1525
"188",4073553.959
"189",8767749.102
"190",8812459.1515
"191",7397375.129
"192",1590915.753
"193",7023496.4
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",2023423.2368
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
