"calendar.year","stratum","season","catch","LHR","imputed"
1982,"Bransfield","Summer",0,0,"Yes"
1983,"Bransfield","Summer",2,2.42252755221785e-06,"Yes"
1985,"Bransfield","Summer",36,4.36054959399213e-05,"Yes"
1987,"Bransfield","Summer",13,1.5746429089416e-05,"Yes"
1988,"Bransfield","Summer",39,2.55213388562034e-05,"Yes"
1989,"Bransfield","Summer",21,1.37422593841095e-05,"Yes"
1990,"Bransfield","Summer",1028,0.000672716316517362,"Yes"
1991,"Bransfield","Summer",438,0.000286624267154285,"Yes"
1992,"Bransfield","Summer",97,0.000117492586282566,"Yes"
1993,"Bransfield","Summer",40,4.8450551044357e-05,"Yes"
1994,"Bransfield","Summer",146,9.55414223847615e-05,"Yes"
1995,"Bransfield","Summer",0,0,"Yes"
1996,"Bransfield","Summer",0,0,"No"
1997,"Bransfield","Summer",60,3.71623850967157e-05,"No"
1997,"Drake","Summer",22875,0.00164823568572192,"No"
1998,"Bransfield","Summer",0,0,"No"
1998,"Drake","Summer",14555,0.00237849819518687,"No"
1999,"Bransfield","Summer",510,0.000609814436475398,"No"
1999,"Drake","Summer",18304,0.00712753402250574,"No"
2000,"Bransfield","Summer",403,0.000117265998758432,"No"
2000,"Drake","Summer",25695,0.00326535968632462,"No"
2001,"Bransfield","Summer",658,0.000769171944886501,"No"
2001,"Drake","Summer",10431,0.00516898466264698,"No"
2002,"Bransfield","Summer",376,0.00165118129381912,"No"
2002,"Drake","Summer",4759,0.00500034065779506,"No"
2003,"Bransfield","Summer",242,0.000103009675707778,"No"
2003,"Drake","Summer",10676,0.00236231824314227,"No"
2004,"Bransfield","Summer",54,0.000637718826924629,"No"
2004,"Drake","Summer",10674,0.00993859803453895,"No"
2005,"Bransfield","Summer",41,6.3632906572013e-05,"No"
2005,"Drake","Summer",3559,0.00116347639263125,"No"
2006,"Bransfield","Summer",323,0.000186971325300145,"No"
2006,"Drake","Summer",14062,0.00345202251928732,"No"
2007,"Bransfield","Summer",57,2.07834907850487e-05,"No"
2007,"Drake","Summer",11328,0.00129200777396972,"No"
2008,"Bransfield","Summer",0,0,"No"
2008,"Drake","Summer",1746,0.000198128577958039,"No"
2009,"Bransfield","Summer",419,0.000301006432391799,"No"
2009,"Drake","Summer",6776,0.000916000592350114,"No"
2010,"Bransfield","Summer",7298,0.018134326833503,"No"
2010,"Drake","Summer",7039,0.00558497692744769,"No"
2011,"Bransfield","Summer",11618,0.00574175475931255,"No"
2011,"Drake","Summer",552,9.66473208369446e-05,"No"
2012,"Bransfield","Summer",3969,0.0025972870235967,"Yes"
2012,"Bransfield","Winter",18050,0.181738684402305,"No"
2012,"Drake","Summer",5752,0.00125831889652055,"Yes"
2012,"Drake","Winter",19924,0.280322826311961,"No"
2013,"Bransfield","Summer",56758,0.0687489094043903,"Yes"
2013,"Drake","Summer",21291,0.00832711901469179,"Yes"
2014,"Bransfield","Summer",36450,0.0441505646391703,"Yes"
2014,"Bransfield","Winter",74167,0.0116828963533589,"No"
2014,"Drake","Summer",17547,0.00686280387726254,"Yes"
2014,"Drake","Winter",0,0,"No"
2015,"Bransfield","Summer",55804,0.0365177639367071,"Yes"
2015,"Bransfield","Winter",55816,0.316428251505705,"No"
2015,"Drake","Summer",8972,0.00196273246515687,"Yes"
2015,"Drake","Winter",0,0,"No"
