SPECIES_CODE,Source,AssignedSSMU,CalendarYear,Month,TotalCatch
KRI,C1,484PA,1983,2,3
KRI,C1,484PA,1985,12,1
KRI,C1,484PA,1992,7,50
KRI,C1,486PA,1973,1,0
KRI,C1,486PA,1973,12,7
KRI,C1,486PA,1974,1,43
KRI,C1,486PA,1974,2,150
KRI,C1,486PA,1979,2,167
KRI,C1,486PA,1980,6,0
KRI,C1,486PA,1981,1,103
KRI,C1,486PA,1981,2,276
KRI,C1,486PA,1981,3,347
KRI,C1,486PA,1983,1,217
KRI,C1,486PA,1983,2,201
KRI,C1,486PA,1984,2,8
KRI,C1,486PA,1987,1,132
KRI,C1,486PA,1988,3,7
KRI,C1,486PA,1988,4,97
KRI,C1,486PA,1989,2,37
KRI,C1,486PA,1990,1,0
KRI,C1,486PA,1990,2,0
KRI,C1,486PA,1990,3,18
KRI,C1,486PA,1990,4,0
KRI,C1,486PA,1992,6,2
KRI,C1,486PA,1993,3,33
KRI,C1,APBSE,1980,12,13
KRI,C1,APBSE,1981,1,10
KRI,C1,APBSE,1981,2,90
KRI,C1,APBSE,1981,4,15
KRI,C1,APBSE,1981,5,9
KRI,C1,APBSE,1981,11,9
KRI,C1,APBSE,1983,12,2
KRI,C1,APBSE,1984,1,200
KRI,C1,APBSE,1984,3,4
KRI,C1,APBSE,1985,1,13
KRI,C1,APBSE,1985,2,23
KRI,C1,APBSE,1986,1,17
KRI,C1,APBSE,1986,2,28
KRI,C1,APBSE,1986,3,3
KRI,C1,APBSE,1987,2,12
KRI,C1,APBSE,1990,2,11
KRI,C1,APBSE,1990,12,1017
KRI,C1,APBSE,1992,1,92
KRI,C1,APBSE,1997,2,13
KRI,C1,APBSE,1998,4,85
KRI,C1,APBSE,1999,2,127
KRI,C1,APBSE,1999,3,286
KRI,C1,APBSE,1999,8,490
KRI,C1,APBSE,1999,9,1
KRI,C1,APBSE,2000,3,136
KRI,C1,APBSE,2000,4,108
KRI,C1,APBSE,2000,5,54
KRI,C1,APBSE,2000,7,1114
KRI,C1,APBSE,2000,8,1176
KRI,C1,APBSE,2000,9,550
KRI,C1,APBSE,2000,12,231
KRI,C1,APBSE,2001,1,209
KRI,C1,APBSE,2001,2,4
KRI,C1,APBSE,2001,5,22
KRI,C1,APBSE,2001,6,217
KRI,C1,APBSE,2002,1,57
KRI,C1,APBSE,2003,3,4
KRI,C1,APBSE,2003,5,12
KRI,C1,APBSE,2004,2,3
KRI,C1,APBSE,2004,3,37
KRI,C1,APBSE,2004,4,606
KRI,C1,APBSE,2004,6,55
KRI,C1,APBSE,2004,7,1199
KRI,C1,APBSE,2006,5,16005
KRI,C1,APBSE,2006,6,183
KRI,C1,APBSE,2006,7,4694
KRI,C1,APBSE,2006,8,2079
KRI,C1,APBSE,2006,10,280
KRI,C1,APBSE,2007,2,19
KRI,C1,APBSE,2009,3,167
KRI,C1,APBSE,2009,4,13367
KRI,C1,APBSE,2009,5,6448
KRI,C1,APBSE,2009,10,8
KRI,C1,APBSE,2009,11,3
KRI,C1,APBSE,2010,2,148
KRI,C1,APBSE,2010,3,837
KRI,C1,APBSE,2010,4,13546
KRI,C1,APBSE,2010,6,529
KRI,C1,APBSE,2010,7,4584
KRI,C1,APBSE,2010,8,3214
KRI,C1,APBSE,2010,9,11589
KRI,C1,APBSE,2010,10,3465
KRI,C1,APBSE,2011,1,115
KRI,C1,APBSE,2011,12,85
KRI,C1,APBSE,2012,1,925
KRI,C1,APBSE,2012,2,40
KRI,C1,APBSE,2012,3,883
KRI,C1,APBSE,2012,4,310
KRI,C1,APBSE,2012,5,64
KRI,C1,APBSE,2012,6,1836
KRI,C1,APBSE,2012,10,4
KRI,C1,APBSE,2012,11,531
KRI,C1,APBSE,2012,12,56
KRI,C1,APBSE,2013,1,387
KRI,C1,APBSE,2013,2,333
KRI,C1,APBSE,2013,3,5454
KRI,C1,APBSE,2013,4,7372
KRI,C1,APBSE,2013,5,4247
KRI,C1,APBSE,2013,6,212
KRI,C1,APBSE,2013,12,1337
