YEAR,PROJECT,SPECIES,DATE,WT,AGE,
1981-82,COPA,ADPE,1/18/1982,3750,80.94117647,
1981-82,COPA,ADPE,1/19/1982,3450,81.94117647,
1981-82,COPA,ADPE,1/22/1982,2850,84.94117647,
1981-82,COPA,ADPE,1/22/1982,3100,84.94117647,
1981-82,COPA,ADPE,1/22/1982,4200,84.94117647,
1981-82,COPA,ADPE,1/22/1982,3650,84.94117647,
1981-82,COPA,ADPE,1/23/1982,3450,85.94117647,
1981-82,COPA,ADPE,1/23/1982,3200,85.94117647,
1981-82,COPA,ADPE,1/24/1982,3550,86.94117647,
1981-82,COPA,ADPE,1/24/1982,3400,86.94117647,
1981-82,COPA,ADPE,1/24/1982,3700,86.94117647,
1981-82,COPA,ADPE,1/24/1982,2800,86.94117647,
1981-82,COPA,ADPE,1/24/1982,3700,86.94117647,
1981-82,COPA,ADPE,1/25/1982,3950,87.94117647,
1981-82,COPA,ADPE,1/25/1982,3800,87.94117647,
1981-82,COPA,ADPE,1/25/1982,2900,87.94117647,
1981-82,COPA,ADPE,1/25/1982,3600,87.94117647,
1981-82,COPA,ADPE,1/25/1982,3800,87.94117647,
1981-82,COPA,ADPE,1/25/1982,2250,87.94117647,
1981-82,COPA,ADPE,1/25/1982,3200,87.94117647,
1981-82,COPA,ADPE,1/26/1982,3850,88.94117647,
1981-82,COPA,ADPE,1/26/1982,3900,88.94117647,
1981-82,COPA,ADPE,1/26/1982,2900,88.94117647,
1981-82,COPA,ADPE,1/26/1982,2850,88.94117647,
1981-82,COPA,ADPE,1/27/1982,3300,89.94117647,
1981-82,COPA,ADPE,1/27/1982,3150,89.94117647,
1981-82,COPA,ADPE,1/27/1982,2500,89.94117647,
1981-82,COPA,ADPE,1/27/1982,3400,89.94117647,
1981-82,COPA,ADPE,1/27/1982,3050,89.94117647,
1981-82,COPA,ADPE,1/27/1982,3350,89.94117647,
1981-82,COPA,ADPE,1/27/1982,3400,89.94117647,
1981-82,COPA,ADPE,1/27/1982,2550,89.94117647,
1981-82,COPA,ADPE,1/27/1982,3000,89.94117647,
1981-82,COPA,ADPE,1/28/1982,3150,90.94117647,
1981-82,COPA,ADPE,1/28/1982,3000,90.94117647,
1981-82,COPA,ADPE,1/28/1982,2500,90.94117647,
1981-82,COPA,ADPE,1/28/1982,2950,90.94117647,
1981-82,COPA,ADPE,1/28/1982,3500,90.94117647,
1981-82,COPA,ADPE,1/28/1982,3100,90.94117647,
1981-82,COPA,ADPE,1/29/1982,3100,91.94117647,
1981-82,COPA,ADPE,1/29/1982,3000,91.94117647,
1981-82,COPA,ADPE,1/29/1982,3300,91.94117647,
1981-82,COPA,ADPE,1/29/1982,3400,91.94117647,
1981-82,COPA,ADPE,1/29/1982,3150,91.94117647,
1981-82,COPA,ADPE,1/29/1982,2750,91.94117647,
1981-82,COPA,ADPE,1/29/1982,2450,91.94117647,
1981-82,COPA,ADPE,1/29/1982,3400,91.94117647,
1981-82,COPA,ADPE,1/30/1982,3050,92.94117647,
1981-82,COPA,ADPE,1/31/1982,2700,93.94117647,
1981-82,COPA,ADPE,1/31/1982,3650,93.94117647,
1981-82,COPA,ADPE,1/31/1982,3200,93.94117647,
1981-82,COPA,ADPE,1/31/1982,3450,93.94117647,
1981-82,COPA,ADPE,1/31/1982,2850,93.94117647,
1981-82,COPA,ADPE,2/1/1982,2950,94.94117647,
1981-82,COPA,ADPE,2/1/1982,3100,94.94117647,
1981-82,COPA,ADPE,2/1/1982,2700,94.94117647,
1981-82,COPA,ADPE,2/1/1982,2800,94.94117647,
1981-82,COPA,ADPE,2/2/1982,3300,95.94117647,
1981-82,COPA,ADPE,2/2/1982,2700,95.94117647,
1981-82,COPA,ADPE,2/2/1982,2700,95.94117647,
1982-83,COPA,ADPE,1/18/1983,3900,82.94495413,
1982-83,COPA,ADPE,1/20/1983,3800,84.94495413,
1982-83,COPA,ADPE,1/20/1983,3400,84.94495413,
1982-83,COPA,ADPE,1/20/1983,3500,84.94495413,
1982-83,COPA,ADPE,1/21/1983,3300,85.94495413,
1982-83,COPA,ADPE,1/21/1983,3200,85.94495413,
1982-83,COPA,ADPE,1/21/1983,4300,85.94495413,
1982-83,COPA,ADPE,1/21/1983,3750,85.94495413,
1982-83,COPA,ADPE,1/22/1983,3400,86.94495413,
1982-83,COPA,ADPE,1/22/1983,3100,86.94495413,
1982-83,COPA,ADPE,1/23/1983,3050,87.94495413,
1982-83,COPA,ADPE,1/23/1983,3400,87.94495413,
1982-83,COPA,ADPE,1/23/1983,3600,87.94495413,
1982-83,COPA,ADPE,1/23/1983,3300,87.94495413,
1982-83,COPA,ADPE,1/23/1983,4000,87.94495413,
1982-83,COPA,ADPE,1/23/1983,3950,87.94495413,
