"","x"
"1",0
"2",2
"3",0
"4",0
"5",1028
"6",0
"7",92
"8",0
"9",0
"10",0
"11",0
"12",13
"13",0
"14",127
"15",231
"16",213
"17",57
"18",0
"19",3
"20",0
"21",280
"22",19
"23",0
"24",11
"25",3613
"26",200
"27",1556
"28",2057
"29",2291
"30",0
"31",10284
"32",4904
"33",8082
"34",13555
"35",2266
"36",24
"37",3893
"38",2290
"39",322
"40",654
"41",1843
"42",218
"43",2571
"44",54
"45",41
"46",579
"47",8777
"48",11702
"49",340
"50",0
"51",0
"52",127
"53",231
"54",213
"55",57
"56",0
"57",3
"58",0
"59",280
"60",19
"61",11
"62",3613
"63",200
"64",1556
"65",2057
"66",4904
"67",8082
"68",13555
"69",2266
"70",24
"71",3893
"72",2290
"73",322
"74",654
"75",218
"76",54
"77",41
"78",579
"79",8777
"80",11702
"81",340
"82",0
"83",0
"84",2
"85",36
"86",12
"87",0
"88",0
"89",1028
"90",0
"91",92
"92",0
"93",0
"94",0
"95",0
"96",13
"97",0
"98",127
"99",231
"100",213
"101",57
"102",0
"103",3
"104",0
"105",280
"106",19
"107",0
"108",11
"109",3613
"110",200
"111",1556
"112",2057
"113",92
"114",0
"115",0
"116",0
"117",0
"118",13
"119",0
"120",127
"121",231
"122",213
"123",57
"124",0
"125",3
"126",0
"127",280
"128",19
"129",0
"130",11
"131",3613
"132",200
"133",1556
"134",2057
"135",4904
"136",8082
"137",13555
"138",2266
"139",24
"140",3893
"141",2290
"142",322
"143",654
"144",1843
"145",218
"146",2571
"147",54
"148",41
"149",579
"150",8777
"151",11702
"152",340
"153",0
"154",8082
"155",13555
"156",2266
"157",24
"158",3893
"159",2290
"160",322
"161",654
"162",1843
"163",218
"164",2571
"165",54
"166",41
"167",579
"168",8777
"169",11702
"170",340
"171",0
"172",0
"173",280
"174",19
"175",0
"176",3613
"177",200
"178",1556
"179",3072
"180",4904
"181",8082
"182",13555
"183",2266
"184",24
"185",3893
"186",2290
"187",322
"188",654
"189",1843
"190",218
"191",2571
"192",54
"193",41
"194",579
"195",8777
"196",11702
"197",340
"198",0
"199",200
"200",1556
"201",3072
"202",2291
"203",0
"204",579
"205",8777
"206",11702
"207",340
"208",0
"209",7725
"210",28324
"211",21266
"212",14044
"213",6669
"214",26282
"215",12126
"216",24194
"217",3232
"218",30177
"219",24572
"220",4849
"221",26262
"222",5068
"223",4761
"224",78208
"225",0
"226",143680
"227",622
"228",57070
"229",3232
"230",30177
"231",24572
"232",4849
"233",26262
"234",5068
"235",4761
"236",78208
"237",10170
"238",0
"239",24794
"240",143680
"241",622
"242",57070
"243",110378
"244",102028
"245",130501
"246",7725
"247",28324
"248",21266
"249",14044
"250",6669
"251",26282
"252",12126
"253",24194
"254",3232
"255",30177
"256",24572
"257",4849
"258",26262
"259",5068
"260",4761
"261",78208
"262",0
"263",143680
"264",622
"265",57070
"266",3232
"267",30177
"268",24572
"269",4849
"270",26262
"271",5068
"272",4761
"273",78208
"274",10170
"275",0
"276",24794
"277",143680
"278",622
"279",57070
"280",110378
"281",102028
"282",130501
"283",7725
"284",14044
"285",6669
"286",26282
"287",12126
"288",24194
"289",30177
"290",24572
"291",4849
"292",26262
"293",5068
"294",4761
"295",78208
"296",10170
"297",0
"298",24794
"299",143680
"300",622
"301",57070
"302",12126
"303",24194
"304",3232
"305",30177
"306",24572
"307",4849
"308",26262
"309",5068
"310",4761
"311",78208
"312",10170
"313",0
"314",24794
"315",143680
"316",622
"317",57070
"318",110378
"319",102028
"320",130501
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",12126
"328",24194
"329",3232
"330",30177
"331",24572
"332",4849
"333",26262
"334",5068
"335",4761
"336",78208
"337",10170
"338",0
"339",24794
"340",143680
"341",622
"342",57070
"343",110378
"344",102028
"345",130501
"346",0
"347",0
"348",0
"349",24
"350",16
"351",0
"352",2017
"353",0
"354",991
"355",1752
"356",12686
"357",17934
"358",126
"359",28324
"360",21266
"361",12126
"362",24194
"363",3232
"364",30177
"365",24572
"366",4849
"367",26262
"368",5068
"369",4761
"370",78208
"371",10170
"372",0
"373",24794
"374",143680
"375",622
"376",57070
"377",110378
