YEAR,PROJECT,SPECIES,DATE,E1_WT,E1_VOL,E2_WT,E2_VOL
1984-85,COPA,ADPE,NA,124,111.3336709,119,107.577344
1984-85,COPA,ADPE,NA,123,110.1463552,113,104.4032256
1984-85,COPA,ADPE,NA,123,109.2921984,120,107.3272975
1984-85,COPA,ADPE,NA,124,112.0272118,118,108.0162918
1984-85,COPA,ADPE,NA,124,110.6996756,112,99.93729946
1984-85,COPA,ADPE,NA,110,97.9402752,109,97.04448
1984-85,COPA,ADPE,NA,122,109.4323732,112,101.9713536
1984-85,COPA,ADPE,NA,116,104.69888,112,101.9713536
1984-85,COPA,ADPE,NA,116,105.3184,114,106.0634624
1984-85,COPA,ADPE,NA,122,109.2115661,118,108.6064404
1984-85,COPA,ADPE,NA,118,106.45376,NA,NA
1984-85,COPA,ADPE,NA,109,98.3734272,108,98.24781926
1984-85,COPA,ADPE,NA,121,108.6064404,106,97.38191462
1984-85,COPA,ADPE,NA,124,113.4557962,123,111.5136
1984-85,COPA,ADPE,NA,116,100.6538691,102,94.84556442
1984-85,COPA,ADPE,NA,104,96.7524905,99,89.98511616
1984-85,COPA,ADPE,NA,125,112.0806016,118,108.6392893
1984-85,COPA,ADPE,NA,110,92.2876416,109,100.41359
1984-85,COPA,ADPE,NA,121,109.6019456,118,108.416
1984-85,COPA,ADPE,NA,128,114.5530348,121,107.4416128
1984-85,COPA,ADPE,NA,118,107.7151104,112,101.6727552
1984-85,COPA,ADPE,NA,116,107.95136,94,90.50820608
1984-85,COPA,ADPE,NA,102,91.13383731,97,88.1949655
1984-85,COPA,ADPE,NA,124,98.38159462,118,106.7769206
1984-85,COPA,ADPE,NA,107,97.38191462,104,96.14480845
1984-85,COPA,ADPE,NA,104,97.97390387,102,95.76088371
1984-85,COPA,ADPE,NA,136,123.451776,126,113.4331028
1984-85,COPA,ADPE,NA,113,104.3416187,112,101.5025357
1984-85,COPA,ADPE,NA,115,104.544,110,101.5025357
1984-85,COPA,ADPE,NA,123,113.4716682,112,110.9293056
1984-85,COPA,ADPE,NA,121,109.6645427,110,99.96466534
1984-85,COPA,ADPE,NA,118,105.5150735,116,104.8337961
1984-85,COPA,ADPE,NA,138,125.53361,124,113.5930931
1984-85,COPA,ADPE,NA,125,112.7026852,95,86.57043456
1984-85,COPA,ADPE,NA,131,119.1054459,114,102.6210125
1984-85,COPA,ADPE,NA,112,101.4959309,110,99.63071078
1984-85,COPA,ADPE,NA,112,103.1439483,100,95.06311373
1984-85,COPA,ADPE,NA,129,118.5527916,123,113.977086
1984-85,COPA,ADPE,NA,133,119.248257,126,113.0818268
1984-85,COPA,ADPE,NA,115,106.083156,108,99.9411712
1984-85,COPA,ADPE,NA,119,106.6695393,117,104.3258004
1984-85,COPA,ADPE,NA,110,99.46681805,107,104.1726054
1984-85,COPA,ADPE,NA,122,113.4331028,110,101.2641152
1984-85,COPA,ADPE,NA,102,92.01024,100,90.38219674
1984-85,COPA,ADPE,NA,118,107.8574444,111,101.597889
1984-85,COPA,ADPE,NA,121,107.9934336,102,93.0311209
1985-86,COPA,ADPE,NA,NA,NA,NA,NA
1986-87,COPA,ADPE,NA,108,98.9741824,92,85.3508096
1986-87,COPA,ADPE,NA,109,93.84747776,72,63.31210906
1986-87,COPA,ADPE,NA,105,95.79204403,NA,NA
1986-87,COPA,ADPE,NA,129,118.4956416,124,113.3643059
1986-87,COPA,ADPE,NA,114,105.4354248,98,92.53951027
1986-87,COPA,ADPE,NA,NA,115.4624594,121,112.2886656
1986-87,COPA,ADPE,NA,110,100.1519355,109,111.0645719
1986-87,COPA,ADPE,NA,108,95.54819789,107,109.5281213
1986-87,COPA,ADPE,NA,124,110.355927,106,112.0112968
1986-87,COPA,ADPE,NA,113,100.4701041,NA,NA
1986-87,COPA,ADPE,NA,109,98.53341696,NA,NA
1986-87,COPA,ADPE,NA,126,112.3125949,114,103.7809459
1986-87,COPA,ADPE,NA,112,102.4192512,111,101.0546442
1986-87,COPA,ADPE,NA,124,110.8623606,NA,NA
1986-87,COPA,ADPE,NA,134,123.51249,113,112.7691279
1986-87,COPA,ADPE,NA,113,101.1991864,106,98.91387187
1986-87,COPA,ADPE,NA,120,108.3912192,114,102.9854474
1987-88,COPA,ADPE,NA,114,105.3908367,114,103.5643008
1987-88,COPA,ADPE,NA,126,118.0772352,114,105.47328
1987-88,COPA,ADPE,NA,119,108.5237637,118,106.1419069
1987-88,COPA,ADPE,NA,117,106.7064197,109,95.7846528
1987-88,COPA,ADPE,NA,120,106.6987336,NA,NA
1987-88,COPA,ADPE,NA,125,112.8750653,113,102.8762542
1987-88,COPA,ADPE,NA,104,92.7793152,103,92.49384038
1987-88,COPA,ADPE,NA,127,116.2477568,124,113.1805686
1987-88,COPA,ADPE,NA,124,111.8155392,103,95.19425126
1987-88,COPA,ADPE,NA,111,103.0591811,103,88.21189888
1987-88,COPA,ADPE,NA,120,110.5080238,113,107.3461248
1987-88,COPA,ADPE,NA,122,111.0343941,112,99.51268147
1987-88,COPA,ADPE,NA,106,96.50591539,104,93.06937958
1987-88,COPA,ADPE,NA,151,136.3721405,148,132.1511363
1987-88,COPA,ADPE,NA,121,115.2261161,119,109.4964183
1987-88,COPA,ADPE,NA,101,93.84747776,100,91.38023424
1987-88,COPA,ADPE,NA,114,101.8683372,98,87.57464832
1987-88,COPA,ADPE,NA,120,109.9238497,119,107.390718
1987-88,COPA,ADPE,NA,141,128.9462497,134,120.9102336
1987-88,COPA,ADPE,NA,120,110.1431163,119,109.0390656
1987-88,COPA,ADPE,NA,122,112.1870131,120,106.3665009
1987-88,COPA,ADPE,NA,106,99.11726899,104,94.47028992
1987-88,COPA,ADPE,NA,100,101.9175828,NA,NA
1987-88,COPA,ADPE,NA,110,99.86391245,109,99.236352
1987-88,COPA,ADPE,NA,109,99.5825664,NA,NA
