
Iterations = 1000025:1125000
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 5000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[1]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[2]   6.415e-06 7.323e-06 5.979e-08      6.114e-08
hr[3]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[4]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[5]   1.795e-03 2.015e-03 1.645e-05      1.644e-05
hr[6]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[7]   2.950e-04 3.424e-04 2.795e-06      2.796e-06
hr[8]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[9]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[10]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[11]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[12]  1.422e-05 0.000e+00 0.000e+00      0.000e+00
hr[13]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[14]  2.683e-04 0.000e+00 0.000e+00      0.000e+00
hr[15]  1.187e-04 0.000e+00 0.000e+00      0.000e+00
hr[16]  4.398e-04 0.000e+00 0.000e+00      0.000e+00
hr[17]  4.422e-04 0.000e+00 0.000e+00      0.000e+00
hr[18]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[19]  6.259e-05 0.000e+00 0.000e+00      0.000e+00
hr[20]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[21]  2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[22]  1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[23]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[24]  1.396e-05 0.000e+00 0.000e+00      0.000e+00
hr[25]  1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[26]  1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[27]  2.680e-03 3.038e-03 2.481e-05      2.541e-05
hr[28]  6.700e-03 7.585e-03 6.193e-05      6.300e-05
hr[29]  3.978e-03 4.446e-03 3.630e-05      3.656e-05
hr[30]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[31]  3.208e-03 0.000e+00 0.000e+00      0.000e+00
hr[32]  3.469e-03 0.000e+00 0.000e+00      0.000e+00
hr[33]  1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[34]  7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[35]  4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[36]  1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[37]  3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[38]  9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[39]  4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[40]  6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[41]  9.100e-04 0.000e+00 0.000e+00      0.000e+00
hr[42]  1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[43]  1.505e-03 0.000e+00 0.000e+00      0.000e+00
hr[44]  1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[45]  3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[46]  8.188e-04 9.228e-04 7.535e-06      7.502e-06
hr[47]  2.206e-02 2.545e-02 2.078e-04      2.078e-04
hr[48]  2.944e-02 3.305e-02 2.699e-04      2.698e-04
hr[49]  4.904e-04 5.625e-04 4.593e-06      4.559e-06
hr[50]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[51]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[52]  2.683e-04 0.000e+00 0.000e+00      0.000e+00
hr[53]  1.187e-04 0.000e+00 0.000e+00      0.000e+00
hr[54]  4.398e-04 0.000e+00 0.000e+00      0.000e+00
hr[55]  4.422e-04 0.000e+00 0.000e+00      0.000e+00
hr[56]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[57]  6.259e-05 0.000e+00 0.000e+00      0.000e+00
hr[58]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[59]  2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[60]  1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[61]  1.396e-05 0.000e+00 0.000e+00      0.000e+00
hr[62]  1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[63]  1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[64]  2.692e-03 2.938e-03 2.399e-05      2.444e-05
hr[65]  6.602e-03 7.445e-03 6.079e-05      6.079e-05
hr[66]  3.469e-03 0.000e+00 0.000e+00      0.000e+00
hr[67]  1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[68]  7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[69]  4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[70]  1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[71]  3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[72]  9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[73]  4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[74]  6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[75]  1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[76]  1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[77]  3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[78]  8.146e-04 9.041e-04 7.382e-06      7.383e-06
hr[79]  2.258e-02 2.566e-02 2.095e-04      2.095e-04
hr[80]  2.982e-02 3.371e-02 2.752e-04      2.842e-04
hr[81]  4.901e-04 5.653e-04 4.616e-06      4.616e-06
hr[82]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[83]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[84]  6.336e-06 7.066e-06 5.769e-08      5.931e-08
hr[85]  1.147e-04 1.317e-04 1.076e-06      1.099e-06
hr[86]  3.865e-05 4.452e-05 3.635e-07      3.635e-07
hr[87]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[88]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[89]  1.825e-03 2.056e-03 1.678e-05      1.693e-05
