Year,Leg,gSSMU,biomass,cv,mean.density.gm2,median.density.gm2,nmi.count
1996,1,3,37981368.67,NA,89.9870371,43.80925357,237
1996,1,2,5856210.179,NA,88.76542546,21.83616032,393
1996,1,1,6093501.913,NA,125.7325419,79.73166625,14
1996,1,4,NA,NA,NA,NA,0
1996,2,3,12900500.53,NA,30.56440199,9.679808081,219
1996,2,2,8411504.634,NA,127.4972661,33.47480213,392
1996,2,1,117959.9992,NA,2.433971592,2.433971592,1
1996,2,4,NA,NA,NA,NA,0
1997,1,3,47311563.97,NA,112.0925236,60.82837061,246
1997,1,2,13878476.36,NA,210.3628151,57.6030054,651
1997,1,1,1614535.769,NA,33.31412531,2.04806817,66
1997,1,4,NA,NA,NA,NA,0
1998,1,3,29497063.32,NA,69.88566826,38.47877058,378
1998,1,2,7088897.314,NA,107.4498638,49.29360719,757
1998,1,1,2966653.382,NA,61.21354783,12.96303995,117
1998,1,4,NA,NA,NA,NA,0
1998,2,3,30474530.92,NA,72.20152512,20.14396716,365
1998,2,2,5149917.943,NA,78.05981058,26.5894541,651
1998,2,1,2501183.084,NA,51.60909301,10.85870732,107
1998,2,4,NA,NA,NA,NA,0
1999,1,3,7937802.676,NA,18.80657198,0.969695536,369
1999,1,2,2551666.854,NA,38.67685534,10.29317955,488
1999,1,1,836319.9844,NA,17.25651998,2.166846349,135
1999,1,4,NA,NA,NA,NA,0
1999,2,3,5149029.193,NA,12.19929395,0.032761822,309
1999,2,2,2584471.379,NA,39.17408948,0.80148888,407
1999,2,1,NA,NA,NA,NA,0
1999,2,4,NA,NA,NA,NA,0
2000,2,3,25285062.53,NA,59.90642095,6.28663117,352
2000,2,2,7868964.668,NA,119.273724,9.260414872,547
2000,2,1,3436631.285,NA,70.91101198,0.47567404,55
2000,2,4,NA,NA,NA,NA,0
2001,1,3,7866567.008,NA,18.63779748,3.296915262,386
2001,1,2,3355099.134,NA,50.85486909,15.75439271,710
2001,1,1,1243890.246,NA,25.66627283,7.282003398,106
2001,1,4,NA,NA,NA,NA,0
2001,2,3,4012113.752,NA,9.505666638,1.198223336,441
2001,2,2,680896.5908,NA,10.32068073,0.527843259,605
2001,2,1,467040.5917,NA,9.636856051,0.014484914,123
2001,2,4,NA,NA,NA,NA,0
2002,1,3,1511380.518,409.7981478,3.580825534,0.261488031,424
2002,1,2,1081269.991,372.4495324,16.38933505,1.822148168,532
2002,1,1,209647.1963,317.2027256,4.325833531,0.027079671,220
2002,1,4,478581.9414,146.8901312,5.104111827,0.153127131,13
2002,2,3,1762170.286,455.9877592,4.175007074,0.123027507,247
2002,2,2,822200.3226,324.3128952,12.46249011,0.420261182,408
2002,2,1,245784.3198,872.1226101,5.071482334,0.003887249,183
2002,2,4,299694.4494,340.4842291,3.196263484,0,30
2003,1,3,18209718.03,NA,43.14322072,25.54488839,344
2003,1,2,5187307.265,NA,78.62653872,49.40347742,375
2003,1,1,2365399.19,NA,48.80734546,20.19858166,178
2003,1,4,NA,NA,NA,NA,0
2003,2,3,24216018.39,NA,57.37359714,25.1973385,258
2003,2,2,3851271.708,NA,58.37559808,17.46011128,533
2003,2,1,2333188.556,NA,48.14271533,13.33133574,178
2003,2,4,NA,NA,NA,NA,0
2004,1,3,9273588.999,241.1636419,21.97137245,3.86325206,289
2004,1,2,957928.6811,201.6721811,14.51979084,2.514740979,718
2004,1,1,66859.36163,387.154529,1.379567548,0.001908973,184
2004,1,4,NA,NA,NA,NA,0
2004,2,3,6959303.974,317.1450898,16.48827219,0.213163181,344
