YEAR,PROJECT,SPECIES,DATE,WT_MALE,WT_FEMALE,WT_E1,VOL_E1
1990-91,COPA,ADPE,10/26/1990,4450,3800,NA,NA
1990-91,COPA,ADPE,10/27/1990,4150,3900,121,112.3260826
1990-91,COPA,ADPE,10/28/1990,4200,3650,NA,NA
1990-91,COPA,ADPE,10/28/1990,4500,3700,NA,NA
1990-91,COPA,ADPE,10/28/1990,4950,3700,NA,NA
1990-91,COPA,ADPE,10/28/1990,4500,3000,NA,NA
1990-91,COPA,ADPE,10/28/1990,5050,3250,NA,NA
1990-91,COPA,ADPE,10/28/1990,4500,3750,NA,NA
1990-91,COPA,ADPE,10/28/1990,4800,3200,NA,NA
1990-91,COPA,ADPE,10/28/1990,4300,3550,112,99.19933338
1990-91,COPA,ADPE,10/28/1990,4850,3600,NA,NA
1990-91,COPA,ADPE,10/28/1990,4150,3750,NA,NA
1990-91,COPA,ADPE,10/28/1990,4250,4050,117,91.92748032
1990-91,COPA,ADPE,10/28/1990,5050,3600,120,108.4258714
1990-91,COPA,ADPE,10/28/1990,4550,3750,NA,NA
1990-91,COPA,ADPE,10/29/1990,5100,3350,115,105.374442
1990-91,COPA,ADPE,10/29/1990,4350,3350,123,113.4171064
1990-91,COPA,ADPE,10/29/1990,4450,3450,NA,NA
1990-91,COPA,ADPE,10/29/1990,4350,3900,NA,NA
1990-91,COPA,ADPE,10/29/1990,4750,3800,NA,NA
1990-91,COPA,ADPE,10/29/1990,5300,3500,NA,NA
1990-91,COPA,ADPE,10/29/1990,4050,3900,NA,NA
1990-91,COPA,ADPE,10/29/1990,4100,3150,88,83.08937728
1990-91,COPA,ADPE,10/29/1990,5100,3900,NA,NA
1990-91,COPA,ADPE,10/29/1990,4100,3300,NA,NA
1990-91,COPA,ADPE,10/29/1990,4700,3140,NA,NA
1990-91,COPA,ADPE,10/30/1990,4650,3500,NA,NA
1990-91,COPA,ADPE,10/30/1990,4200,NA,NA,NA
1990-91,COPA,ADPE,10/30/1990,4000,3850,NA,NA
1990-91,COPA,ADPE,10/30/1990,4450,NA,NA,NA
1990-91,COPA,ADPE,10/30/1990,4700,3950,NA,NA
1990-91,COPA,ADPE,10/30/1990,4100,3850,NA,NA
1990-91,COPA,ADPE,10/30/1990,4450,4100,114,103.6146816
1990-91,COPA,ADPE,10/31/1990,4600,4100,NA,NA
1990-91,COPA,ADPE,10/31/1990,4600,4000,NA,NA
1990-91,COPA,ADPE,10/31/1990,4750,3350,NA,NA
1990-91,COPA,ADPE,10/31/1990,4700,4000,NA,NA
1990-91,COPA,ADPE,10/31/1990,4450,3500,NA,NA
1990-91,COPA,ADPE,10/31/1990,3950,3950,NA,NA
1990-91,COPA,ADPE,10/31/1990,4800,3850,130,115.6558602
1990-91,COPA,ADPE,10/31/1990,4150,3950,NA,NA
1990-91,COPA,ADPE,10/31/1990,4500,3800,NA,NA
1990-91,COPA,ADPE,10/31/1990,4500,3500,NA,NA
1990-91,COPA,ADPE,10/31/1990,4700,4400,127,117.8211809
1990-91,COPA,ADPE,10/31/1990,4700,3350,NA,NA
1990-91,COPA,ADPE,10/31/1990,5000,4100,NA,NA
1990-91,COPA,ADPE,10/31/1990,4300,3550,NA,NA
1990-91,COPA,ADPE,10/31/1990,4400,4300,128,106.5395036
1990-91,COPA,ADPE,11/1/1990,5050,3550,NA,NA
1990-91,COPA,ADPE,11/1/1990,4300,3050,NA,NA
1990-91,COPA,ADPE,11/1/1990,4550,4100,109,99.73545574
1990-91,COPA,ADPE,11/1/1990,4150,3500,NA,NA
1990-91,COPA,ADPE,11/1/1990,4500,3700,NA,NA
1990-91,COPA,ADPE,11/1/1990,4000,3750,NA,NA
1990-91,COPA,ADPE,11/1/1990,3700,3200,NA,NA
1990-91,COPA,ADPE,11/1/1990,4750,3450,NA,NA
1990-91,COPA,ADPE,11/1/1990,4850,3500,NA,NA
1990-91,COPA,ADPE,11/1/1990,4450,3850,NA,NA
1990-91,COPA,ADPE,11/1/1990,4250,3600,NA,NA
1990-91,COPA,ADPE,11/1/1990,4600,4000,102,101.3035126
1990-91,COPA,ADPE,11/1/1990,4200,3100,104,104.0205312
1990-91,COPA,ADPE,11/1/1990,4600,3500,124,112.9855058
1990-91,COPA,ADPE,11/1/1990,4500,3250,NA,NA
1990-91,COPA,ADPE,11/1/1990,4500,4050,NA,NA
1990-91,COPA,ADPE,11/2/1990,4150,3500,NA,NA
1990-91,COPA,ADPE,11/2/1990,4200,4100,NA,NA
1990-91,COPA,ADPE,11/2/1990,3950,3000,NA,NA
1990-91,COPA,ADPE,11/2/1990,4550,3700,NA,NA
1990-91,COPA,ADPE,11/2/1990,4300,3500,98,86.57043456
1990-91,COPA,ADPE,11/2/1990,4000,3850,NA,NA
1990-91,COPA,ADPE,11/2/1990,4200,NA,NA,NA
1990-91,COPA,ADPE,11/2/1990,4100,3000,124,111.2558223
1990-91,COPA,ADPE,11/2/1990,4150,3850,113,97.98600909
1990-91,COPA,ADPE,11/2/1990,4500,3850,NA,NA
1990-91,COPA,ADPE,11/2/1990,4500,3200,120,109.5668777
1990-91,COPA,ADPE,11/2/1990,4300,3850,139,122.8048384
1990-91,COPA,ADPE,11/2/1990,4200,3450,NA,NA
1990-91,COPA,ADPE,11/2/1990,4250,3500,118,106.9418972
1990-91,COPA,ADPE,11/2/1990,4400,3550,NA,NA
1990-91,COPA,ADPE,11/2/1990,4100,3400,110,98.0605993
1990-91,COPA,ADPE,11/2/1990,3950,3500,NA,NA
1990-91,COPA,ADPE,11/2/1990,4100,3700,NA,NA
1990-91,COPA,ADPE,11/2/1990,4250,4150,NA,NA
1990-91,COPA,ADPE,11/2/1990,4350,3200,NA,NA
1990-91,COPA,ADPE,11/3/1990,4100,3400,NA,NA
1990-91,COPA,ADPE,11/3/1990,4450,3900,NA,NA
1990-91,COPA,ADPE,11/3/1990,4550,3650,101,94.27677542
1990-91,COPA,ADPE,11/3/1990,4250,3400,126,109.8446766
1990-91,COPA,ADPE,11/3/1990,4050,3600,NA,NA
1990-91,COPA,ADPE,11/3/1990,4500,3500,NA,NA
1990-91,COPA,ADPE,11/3/1990,4200,3050,NA,NA
1990-91,COPA,ADPE,11/3/1990,5150,3150,NA,NA
1990-91,COPA,ADPE,11/3/1990,4250,3550,NA,NA
1990-91,COPA,ADPE,11/3/1990,4100,3750,NA,NA
1990-91,COPA,ADPE,11/3/1990,4500,3550,NA,NA
1990-91,COPA,ADPE,11/3/1990,4350,3200,NA,NA
1990-91,COPA,ADPE,11/3/1990,4600,3850,NA,NA
1990-91,COPA,ADPE,11/3/1990,4100,3600,118,110.7392
1990-91,COPA,ADPE,11/3/1990,4000,3900,NA,NA
1990-91,COPA,ADPE,11/3/1990,3800,4050,NA,NA
1990-91,COPA,ADPE,11/3/1990,4350,3350,NA,NA
1990-91,COPA,ADPE,11/3/1990,4400,4250,NA,NA
1990-91,COPA,ADPE,11/3/1990,4200,4050,NA,NA
1990-91,COPA,ADPE,11/3/1990,4150,3150,NA,NA
1990-91,COPA,ADPE,11/3/1990,4100,3700,NA,NA
1990-91,COPA,ADPE,11/3/1990,5000,3900,NA,NA
1990-91,COPA,ADPE,11/3/1990,4100,3900,120,108.4850703
1990-91,COPA,ADPE,11/3/1990,4300,3500,NA,NA
1990-91,COPA,ADPE,11/4/1990,4600,3250,NA,NA
1990-91,COPA,ADPE,11/4/1990,4400,3700,133,121.174677
1990-91,COPA,ADPE,11/4/1990,4100,3700,NA,NA
1990-91,COPA,ADPE,11/4/1990,4000,3450,149,130.0126464
1990-91,COPA,ADPE,11/4/1990,4100,3350,NA,NA
1990-91,COPA,ADPE,11/4/1990,4100,3650,NA,NA
1990-91,COPA,ADPE,11/4/1990,4150,3300,110,98.51669504
1990-91,COPA,ADPE,11/4/1990,4250,3950,NA,NA
1990-91,COPA,ADPE,11/4/1990,4300,3800,NA,NA
1990-91,COPA,ADPE,11/4/1990,4250,3650,NA,NA
1990-91,COPA,ADPE,11/4/1990,4200,3750,NA,NA
1990-91,COPA,ADPE,11/4/1990,4450,3650,NA,NA
1990-91,COPA,ADPE,11/4/1990,3900,3400,NA,NA
1990-91,COPA,ADPE,11/4/1990,4200,3650,NA,NA
1990-91,COPA,ADPE,11/4/1990,4150,4000,108,97.97390387
1990-91,COPA,ADPE,11/4/1990,4250,3350,NA,NA
1990-91,COPA,ADPE,11/4/1990,4550,3250,114,103.7554176
1990-91,COPA,ADPE,11/4/1990,4150,3500,NA,NA
1990-91,COPA,ADPE,11/4/1990,4150,3900,NA,NA
1990-91,COPA,ADPE,11/4/1990,4350,3400,133,127.7222804
1990-91,COPA,ADPE,11/4/1990,4000,3800,NA,NA
1990-91,COPA,ADPE,11/4/1990,4600,3750,111,100.9232097
1990-91,COPA,ADPE,11/4/1990,4250,4150,NA,NA
1990-91,COPA,ADPE,11/4/1990,4150,3200,110,107.8018376
1990-91,COPA,ADPE,11/4/1990,4100,4000,NA,NA
1990-91,COPA,ADPE,11/4/1990,4600,3850,NA,NA
1990-91,COPA,ADPE,11/4/1990,3850,3400,NA,NA
1990-91,COPA,ADPE,11/4/1990,4050,3200,118,111.3772032
1990-91,COPA,ADPE,11/4/1990,4100,3400,NA,NA
1990-91,COPA,ADPE,11/4/1990,4200,3500,NA,NA
1990-91,COPA,ADPE,11/4/1990,5300,3600,111,99.36503654
1990-91,COPA,ADPE,11/4/1990,4200,NA,NA,NA
1990-91,COPA,ADPE,11/4/1990,4250,3400,NA,NA
1990-91,COPA,ADPE,11/4/1990,3500,4000,NA,NA
1990-91,COPA,ADPE,11/4/1990,4300,3250,NA,NA
1990-91,COPA,ADPE,11/4/1990,4050,3650,NA,NA
1990-91,COPA,ADPE,11/5/1990,4550,3850,NA,NA
1990-91,COPA,ADPE,11/5/1990,3600,NA,NA,NA
1990-91,COPA,ADPE,11/5/1990,4300,NA,117,104.5538406
1990-91,COPA,ADPE,11/5/1990,4350,3700,NA,NA
1990-91,COPA,ADPE,11/5/1990,4750,3200,NA,NA
1990-91,COPA,ADPE,11/5/1990,4000,3250,NA,NA
1990-91,COPA,ADPE,11/5/1990,4300,3500,NA,NA
1990-91,COPA,ADPE,11/5/1990,4400,3100,NA,NA
1990-91,COPA,ADPE,11/5/1990,4450,3350,NA,NA
1990-91,COPA,ADPE,11/5/1990,3900,3400,NA,NA
1990-91,COPA,ADPE,11/5/1990,4000,4500,NA,NA
1990-91,COPA,ADPE,11/6/1990,4450,3850,124,110.5538688
1990-91,COPA,ADPE,11/6/1990,4500,4000,NA,NA
1990-91,COPA,ADPE,11/6/1990,4450,4000,NA,NA
1990-91,COPA,ADPE,11/6/1990,4200,3850,NA,NA
1990-91,COPA,ADPE,11/6/1990,4150,3800,NA,NA
1990-91,COPA,ADPE,11/6/1990,4000,NA,NA,NA
1990-91,COPA,ADPE,11/6/1990,4400,3750,114,102.613225
1990-91,COPA,ADPE,11/6/1990,4400,3800,NA,NA
1990-91,COPA,ADPE,11/6/1990,3600,4000,113,103.7696
1990-91,COPA,ADPE,11/6/1990,4400,4400,NA,NA
1990-91,COPA,ADPE,11/6/1990,4600,4250,NA,NA
1990-91,COPA,ADPE,11/6/1990,4450,3600,NA,NA
1990-91,COPA,ADPE,11/6/1990,4300,3550,NA,NA
1990-91,COPA,ADPE,11/7/1990,4100,NA,NA,NA
1990-91,COPA,ADPE,11/7/1990,4800,3050,NA,NA
1990-91,COPA,ADPE,11/7/1990,4300,3950,NA,NA
1990-91,COPA,ADPE,11/7/1990,4350,3400,NA,NA
