"","x"
"1",2
"2",3
"3",3
"4",1
"5",2
"6",2
"7",3
"8",2
"9",2
"10",3
"11",1
"12",2
"13",3
"14",1
"15",1
"16",1
"17",2
"18",3
"19",2
"20",3
"21",1
"22",3
"23",1
"24",1
"25",3
"26",1
"27",1
"28",2
"29",3
"30",3
"31",2
"32",3
"33",1
"34",1
"35",1
"36",2
"37",3
"38",2
"39",3
"40",1
"41",3
"42",1
"43",1
"44",3
"45",1
"46",1
"47",2
"48",2
"49",3
"50",3
"51",3
"52",1
"53",1
"54",1
"55",2
"56",3
"57",2
"58",3
"59",1
"60",3
"61",1
"62",3
"63",1
"64",1
"65",2
"66",3
"67",1
"68",1
"69",1
"70",2
"71",3
"72",2
"73",3
"74",1
"75",1
"76",3
"77",1
"78",1
"79",2
"80",2
"81",3
"82",3
"83",2
"84",3
"85",1
"86",3
"87",3
"88",1
"89",2
"90",2
"91",3
"92",2
"93",2
"94",3
"95",1
"96",2
"97",3
"98",1
"99",1
"100",1
"101",2
"102",3
"103",2
"104",3
"105",1
"106",3
"107",1
"108",1
"109",3
"110",1
"111",1
"112",2
"113",3
"114",2
"115",2
"116",3
"117",1
"118",2
"119",3
"120",1
"121",1
"122",1
"123",2
"124",3
"125",2
"126",3
"127",1
"128",3
"129",1
"130",1
"131",3
"132",1
"133",1
"134",2
"135",3
"136",1
"137",1
"138",1
"139",2
"140",3
"141",2
"142",3
"143",1
"144",3
"145",1
"146",1
"147",3
"148",1
"149",1
"150",2
"151",2
"152",3
"153",3
"154",1
"155",1
"156",1
"157",2
"158",3
"159",2
"160",3
"161",1
"162",3
"163",1
"164",1
"165",3
"166",1
"167",1
"168",2
"169",2
"170",3
"171",3
"172",3
"173",1
"174",3
"175",1
"176",3
"177",1
"178",1
"179",2
"180",3
"181",1
"182",1
"183",1
"184",2
"185",3
"186",2
"187",3
"188",1
"189",3
"190",1
"191",1
"192",3
"193",1
"194",1
"195",2
"196",2
"197",3
"198",3
"199",1
"200",1
"201",2
"202",3
"203",3
"204",1
"205",2
"206",2
"207",3
"208",3
"209",3
"210",3
"211",2
"212",2
"213",2
"214",2
"215",3
"216",2
"217",1
"218",1
"219",2
"220",3
"221",2
"222",2
"223",2
"224",2
"225",2
"226",1
"227",2
"228",2
"229",1
"230",1
"231",2
"232",3
"233",2
"234",2
"235",2
"236",2
"237",2
"238",2
"239",2
"240",1
"241",2
"242",2
"243",2
"244",2
"245",3
"246",3
"247",3
"248",2
"249",2
"250",2
"251",2
"252",3
"253",2
"254",1
"255",1
"256",2
"257",3
"258",2
"259",2
"260",2
"261",2
"262",2
"263",1
"264",2
"265",2
"266",1
"267",1
"268",2
"269",3
"270",2
"271",2
"272",2
"273",2
"274",2
"275",2
"276",2
"277",1
"278",2
"279",2
"280",2
"281",2
"282",3
"283",3
"284",2
"285",2
"286",2
"287",3
"288",2
"289",1
"290",2
"291",3
"292",2
"293",2
"294",2
"295",2
"296",2
"297",2
"298",2
"299",1
"300",2
"301",2
"302",3
"303",2
"304",1
"305",1
"306",2
"307",3
"308",2
"309",2
"310",2
"311",2
"312",2
"313",2
"314",2
"315",1
"316",2
"317",2
"318",2
"319",2
"320",3
"321",2
"322",2
"323",3
"324",2
"325",2
"326",3
"327",3
"328",2
"329",1
"330",1
"331",2
"332",3
"333",2
"334",2
"335",2
"336",2
"337",2
"338",2
"339",2
"340",1
"341",2
"342",2
"343",2
"344",2
"345",3
"346",2
"347",2
"348",3
"349",2
"350",3
"351",2
"352",2
"353",1
"354",2
"355",3
"356",1
"357",2
"358",2
"359",3
"360",2
"361",3
"362",2
"363",1
"364",1
"365",2
"366",3
"367",2
"368",2
"369",2
"370",2
"371",2
"372",2
"373",2
"374",1
"375",2
"376",2
"377",2
