YEAR,PROJECT,SPECIES,N_NESTS,N_EGGS,N_CHICKS,N_CRECHE
1977-78,COPA,ADPE,102,186,123,106
1981-82,COPA,ADPE,136,269,190,112
1982-83,COPA,ADPE,109,200,118,99
1984-85,COPA,ADPE,184,350,245,213
1986-87,COPA,ADPE,155,302,229,183
1987-88,COPA,ADPE,189,362,228,113
1988-89,COPA,ADPE,200,376,260,185
1989-90,COPA,ADPE,200,359,187,111
1990-91,COPA,ADPE,200,367,156,65
1991-92,COPA,ADPE,200,347,210,146
1992-93,COPA,ADPE,201,359,223,156
1993-94,COPA,ADPE,100,194,142,120
1994-95,COPA,ADPE,100,196,151,96
1995-96,COPA,ADPE,100,197,169,127
1996-97,COPA,ADPE,100,190,87,63
1997-98,COPA,ADPE,100,198,170,150
1998-99,COPA,ADPE,100,193,160,141
1999-00,COPA,ADPE,100,178,126,96
2000-01,COPA,ADPE,100,185,149,130
2001-02,COPA,ADPE,100,182,92,50
2002-03,COPA,ADPE,100,193,132,92
2003-04,COPA,ADPE,100,193,116,87
2004-05,COPA,ADPE,98,191,123,99
2005-06,COPA,ADPE,100,194,136,103
2006-07,COPA,ADPE,100,198,137,94
2007-08,COPA,ADPE,100,184,48,41
2008-09,COPA,ADPE,100,195,122,106
2009-10,COPA,ADPE,99,184,47,37
2010-11,COPA,ADPE,100,198,150,119
2011-12,COPA,ADPE,100,197,147,120
2012-13,COPA,ADPE,100,174,50,28
1991-92,COPA,GEPE,197,383,303,264
1992-93,COPA,GEPE,199,391,285,247
1993-94,COPA,GEPE,100,195,166,144
1994-95,COPA,GEPE,100,196,143,131
1995-96,COPA,GEPE,100,198,163,145
1996-97,COPA,GEPE,98,189,142,120
1997-98,COPA,GEPE,100,200,172,161
1998-99,COPA,GEPE,100,196,169,151
1999-00,COPA,GEPE,102,192,146,137
2000-01,COPA,GEPE,99,196,167,150
2001-02,COPA,GEPE,100,198,145,131
2002-03,COPA,GEPE,99,195,150,139
2003-04,COPA,GEPE,100,195,150,134
2004-05,COPA,GEPE,100,195,165,158
2005-06,COPA,GEPE,100,192,171,154
2006-07,COPA,GEPE,100,200,166,156
2007-08,COPA,GEPE,98,175,106,86
2008-09,COPA,GEPE,100,196,166,158
2009-10,COPA,GEPE,100,197,125,99
2010-11,COPA,GEPE,100,197,170,126
2011-12,COPA,GEPE,100,200,165,150
2012-13,COPA,GEPE,100,197,151,137
1997-98,CS,CHPE,100,195,135,97
1998-99,CS,CHPE,100,198,154,127
1999-00,CS,CHPE,99,189,126,100
2000-01,CS,CHPE,97,191,139,125
2001-02,CS,CHPE,98,191,97,73
2002-03,CS,CHPE,95,179,78,58
2003-04,CS,CHPE,100,189,119,85
2004-05,CS,CHPE,97,187,103,67
2005-06,CS,CHPE,99,196,144,103
2006-07,CS,CHPE,87,172,138,108
2007-08,CS,CHPE,100,182,37,23
2008-09,CS,CHPE,100,194,147,116
2009-10,CS,CHPE,100,197,108,79
2010-11,CS,CHPE,100,196,136,100
2011-12,CS,CHPE,100,194,103,88
2012-13,CS,CHPE,100,198,122,98
2013-14,CS,CHPE,99,197,121,103
2014-15,CS,CHPE,100,188,68,57
2015-16,CS,CHPE,100,188,118,74
1998-99,CS,GEPE,60,116,86,68
1999-00,CS,GEPE,50,98,86,70
2000-01,CS,GEPE,50,98,81,68
2001-02,CS,GEPE,50,98,83,66
2002-03,CS,GEPE,50,97,46,38
2003-04,CS,GEPE,49,95,68,59
2004-05,CS,GEPE,50,94,70,58
2005-06,CS,GEPE,50,98,86,76
2006-07,CS,GEPE,49,95,76,66
2007-08,CS,GEPE,63,106,48,39
2008-09,CS,GEPE,50,100,76,67
2009-10,CS,GEPE,50,103,82,75
2010-11,CS,GEPE,50,95,73,60
2011-12,CS,GEPE,50,106,44,41
2012-13,CS,GEPE,50,93,30,25
2013-14,CS,GEPE,50,95,63,53
2014-15,CS,GEPE,50,82,15,10
2015-16,CS,GEPE,50,98,56,42
