"","x"
"1",1e+12
"2",1e+12
"3",1e+12
"4",1e+12
"5",1e+12
"6",1e+12
"7",1e+12
"8",1e+12
"9",1e+12
"10",1e+12
"11",1758076.65097431
"12",913948.335436675
"13",1547602.76374548
"14",473419.83516923
"15",1945391.05465637
"16",484257.586975514
"17",128904.197738154
"18",1329876.52915847
"19",47933.4288238174
"20",364733.84998899
"21",977915.863336175
"22",1552495.4558265
"23",2601639.51804375
"24",787974.606108325
"25",227811.894421557
"26",1145409.30877156
"27",1e+12
"28",1e+12
"29",1e+12
"30",1e+12
"31",3205844.76830184
"32",1413546.44573773
"33",593208.557496801
"34",1817683.62451999
"35",466145.398227226
"36",219845.110809859
"37",1043928.75564458
"38",248086.294206825
"39",706595.897610585
"40",940966.523205246
"41",2025297.43606739
"42",2035625.18924159
"43",1708749.27054823
"44",291132.226170728
"45",1319319.42754132
"46",1e+12
"47",1e+12
"48",1e+12
"49",1e+12
"50",1e+12
"51",1547602.76374548
"52",473419.83516923
"53",1945391.05465637
"54",484257.586975514
"55",128904.197738154
"56",1329876.52915847
"57",47933.4288238174
"58",364733.84998899
"59",977915.863336175
"60",1552495.4558265
"61",787974.606108325
"62",227811.894421557
"63",1145409.30877156
"64",1e+12
"65",1e+12
"66",1413546.44573773
"67",593208.557496801
"68",1817683.62451999
"69",466145.398227226
"70",219845.110809859
"71",1043928.75564458
"72",248086.294206825
"73",706595.897610585
"74",940966.523205246
"75",2035625.18924159
"76",291132.226170728
"77",1319319.42754132
"78",1e+12
"79",1e+12
"80",1e+12
"81",1e+12
"82",1e+12
"83",1e+12
"84",1e+12
"85",1e+12
"86",1e+12
"87",1e+12
"88",1e+12
"89",1e+12
"90",1e+12
"91",1e+12
"92",1e+12
"93",1e+12
"94",1e+12
"95",1758076.65097431
"96",913948.335436675
"97",1547602.76374548
"98",473419.83516923
"99",1945391.05465637
"100",484257.586975514
"101",128904.197738154
"102",1329876.52915847
"103",47933.4288238174
"104",364733.84998899
"105",977915.863336175
"106",1552495.4558265
"107",2601639.51804375
"108",787974.606108325
"109",227811.894421557
"110",1145409.30877156
"111",1e+12
"112",1e+12
