YEAR,PROJECT,SPECIES,DATE,DAY_OF_SEASON,WEEK_OF_SEASON,FREQENCY,TRIP_DURATION
1997-98,CS,CHPE,1/7/1998,38,6,5024,24.65
1997-98,CS,CHPE,1/21/1998,52,8,5024,7.75
1997-98,CS,CHPE,1/22/1998,53,8,5024,10.5
1997-98,CS,CHPE,1/26/1998,57,9,5024,15.5
1997-98,CS,CHPE,1/27/1998,58,9,5024,14.5
1997-98,CS,CHPE,1/28/1998,59,9,5024,12
1997-98,CS,CHPE,1/29/1998,60,9,5024,10.5
1997-98,CS,CHPE,1/30/1998,61,9,5024,12.25
1997-98,CS,CHPE,1/31/1998,62,9,5024,17.25
1997-98,CS,CHPE,2/1/1998,63,9,5024,13.75
1997-98,CS,CHPE,2/2/1998,64,10,5024,4.5
1997-98,CS,CHPE,2/2/1998,64,10,5024,6
1997-98,CS,CHPE,2/4/1998,66,10,5024,6.75
1997-98,CS,CHPE,2/5/1998,67,10,5024,10.75
1997-98,CS,CHPE,2/6/1998,68,10,5024,10.75
1997-98,CS,CHPE,2/7/1998,69,10,5024,7.333333333
1997-98,CS,CHPE,2/7/1998,69,10,5024,21
1997-98,CS,CHPE,2/8/1998,70,10,5024,17
1997-98,CS,CHPE,2/10/1998,72,11,5024,4.5
1997-98,CS,CHPE,2/11/1998,73,11,5024,7
1997-98,CS,CHPE,2/12/1998,74,11,5024,11.75
1997-98,CS,CHPE,2/14/1998,76,11,5024,12.25
1997-98,CS,CHPE,2/14/1998,76,11,5024,10.25
1997-98,CS,CHPE,2/15/1998,77,11,5024,5.1
1997-98,CS,CHPE,1/11/1998,42,6,5033,19.5
1997-98,CS,CHPE,1/13/1998,44,7,5033,20.25
1997-98,CS,CHPE,1/15/1998,46,7,5033,7
1997-98,CS,CHPE,1/16/1998,47,7,5033,23.93333333
1997-98,CS,CHPE,1/18/1998,49,7,5033,7.25
1997-98,CS,CHPE,1/20/1998,51,8,5033,21.25
1997-98,CS,CHPE,1/22/1998,53,8,5033,19.5
1997-98,CS,CHPE,1/24/1998,55,8,5033,19.5
1997-98,CS,CHPE,1/26/1998,57,9,5033,7.5
1997-98,CS,CHPE,1/28/1998,59,9,5033,8.966666667
1997-98,CS,CHPE,1/29/1998,60,9,5033,8.75
1997-98,CS,CHPE,2/1/1998,63,9,5033,4.5
1997-98,CS,CHPE,2/2/1998,64,10,5033,8.5
1997-98,CS,CHPE,2/8/1998,70,10,5033,23.5
1997-98,CS,CHPE,2/10/1998,72,11,5033,4.25
1997-98,CS,CHPE,2/13/1998,75,11,5033,11
1997-98,CS,CHPE,2/14/1998,76,11,5033,14.75
1997-98,CS,CHPE,2/15/1998,77,11,5033,15.6
1997-98,CS,CHPE,1/10/1998,41,6,5044,4.75
1997-98,CS,CHPE,1/11/1998,42,6,5044,4.25
1997-98,CS,CHPE,1/16/1998,47,7,5044,9.433333333
1997-98,CS,CHPE,1/17/1998,48,7,5044,10.81666667
1997-98,CS,CHPE,1/18/1998,49,7,5044,24
1997-98,CS,CHPE,1/21/1998,52,8,5044,7.75
1997-98,CS,CHPE,1/23/1998,54,8,5044,7.25
1997-98,CS,CHPE,2/3/1998,65,10,5044,6.75
1997-98,CS,CHPE,2/4/1998,66,10,5044,18
1997-98,CS,CHPE,2/6/1998,68,10,5044,10.25
1997-98,CS,CHPE,2/7/1998,69,10,5044,5.333333333
1997-98,CS,CHPE,2/10/1998,72,11,5044,5
1997-98,CS,CHPE,2/11/1998,73,11,5044,13.5
1997-98,CS,CHPE,2/12/1998,74,11,5044,8.5
1997-98,CS,CHPE,2/13/1998,75,11,5044,12.75
1997-98,CS,CHPE,2/14/1998,76,11,5044,11.5
1997-98,CS,CHPE,2/15/1998,77,11,5044,11.85
1997-98,CS,CHPE,1/9/1998,40,6,5054,17.25
1997-98,CS,CHPE,1/11/1998,42,6,5054,13.5
1997-98,CS,CHPE,1/14/1998,45,7,5054,4.25
1997-98,CS,CHPE,1/16/1998,47,7,5054,24.18333333
1997-98,CS,CHPE,1/21/1998,52,8,5054,10.5
1997-98,CS,CHPE,1/22/1998,53,8,5054,11.5
1997-98,CS,CHPE,1/23/1998,54,8,5054,47.1
1997-98,CS,CHPE,1/25/1998,56,8,5054,18
1997-98,CS,CHPE,1/26/1998,57,9,5054,17.25
1997-98,CS,CHPE,2/5/1998,67,10,5054,6.5
1997-98,CS,CHPE,2/9/1998,71,11,5054,4.5
1997-98,CS,CHPE,2/9/1998,71,11,5054,4.25
1997-98,CS,CHPE,2/11/1998,73,11,5054,5.5
1997-98,CS,CHPE,2/15/1998,77,11,5054,44.25
1997-98,CS,CHPE,1/10/1998,41,6,5064,7
1997-98,CS,CHPE,1/11/1998,42,6,5064,6.75
1997-98,CS,CHPE,1/12/1998,43,7,5064,7.75
1997-98,CS,CHPE,1/13/1998,44,7,5064,4.25
1997-98,CS,CHPE,1/13/1998,44,7,5064,6
1997-98,CS,CHPE,1/14/1998,45,7,5064,4.5
1997-98,CS,CHPE,1/16/1998,47,7,5064,10.45
