"","x"
"1",0
"2",2
"3",0
"4",0
"5",1028
"6",0
"7",92
"8",0
"9",0
"10",0
"11",0
"12",13
"13",0
"14",127
"15",231
"16",213
"17",57
"18",0
"19",3
"20",0
"21",280
"22",19
"23",0
"24",11
"25",3613
"26",200
"27",1556
"28",2057
"29",2291
"30",0
"31",10284
"32",4904
"33",8082
"34",13555
"35",2266
"36",24
"37",3893
"38",2290
"39",322
"40",654
"41",1843
"42",218
"43",2571
"44",54
"45",41
"46",579
"47",8777
"48",11702
"49",340
"50",0
"51",0
"52",127
"53",231
"54",213
"55",57
"56",0
"57",3
"58",0
"59",280
"60",19
"61",11
"62",3613
"63",200
"64",1556
"65",2057
"66",4904
"67",8082
"68",13555
"69",2266
"70",24
"71",3893
"72",2290
"73",322
"74",654
"75",218
"76",54
"77",41
"78",579
"79",8777
"80",11702
"81",340
"82",0
"83",0
"84",2
"85",36
"86",12
"87",0
"88",0
"89",1028
"90",0
"91",92
"92",0
"93",0
"94",0
"95",0
"96",13
"97",0
"98",127
"99",231
"100",213
"101",57
"102",0
"103",3
"104",0
"105",280
"106",19
"107",0
"108",11
"109",3613
"110",200
"111",1556
"112",2057
"113",92
"114",0
"115",0
"116",0
"117",0
"118",13
"119",0
"120",127
"121",231
"122",213
"123",57
"124",0
"125",3
"126",0
"127",280
"128",19
"129",0
"130",11
"131",3613
"132",200
"133",1556
"134",2057
"135",4904
"136",8082
"137",13555
"138",2266
"139",24
"140",3893
"141",2290
"142",322
"143",654
"144",1843
"145",218
"146",2571
"147",54
"148",41
"149",579
"150",8777
"151",11702
"152",340
"153",0
"154",8082
"155",13555
"156",2266
"157",24
"158",3893
"159",2290
"160",322
"161",654
"162",1843
"163",218
"164",2571
"165",54
"166",41
"167",579
"168",8777
"169",11702
"170",340
"171",0
"172",0
"173",280
"174",19
"175",0
"176",3613
"177",200
"178",1556
"179",3072
"180",4904
"181",8082
"182",13555
"183",2266
"184",24
"185",3893
"186",2290
"187",322
"188",654
"189",1843
"190",218
"191",2571
"192",54
"193",41
"194",579
"195",8777
"196",11702
"197",340
"198",0
"199",200
"200",1556
"201",3072
"202",2291
"203",0
"204",579
"205",8777
"206",11702
"207",340
"208",0
"209",17101
"210",46288
"211",65006
"212",3093
"213",54564
"214",34709
"215",17101
"216",46288
"217",65006
