"calendar.year","stratum","season","catch","LHR","imputed"
1982,"Bransfield","Summer",0,0,"Yes"
1983,"Bransfield","Summer",2,4.26333096303648e-06,"Yes"
1985,"Bransfield","Summer",36,7.67399573346566e-05,"Yes"
1987,"Bransfield","Summer",12,2.55799857782189e-05,"Yes"
1988,"Bransfield","Summer",0,0,"Yes"
1989,"Bransfield","Summer",0,0,"Yes"
1990,"Bransfield","Summer",1028,0.00119364122366656,"Yes"
1991,"Bransfield","Summer",0,0,"Yes"
1992,"Bransfield","Summer",92,0.000196113224299678,"Yes"
1993,"Bransfield","Summer",0,0,"Yes"
1994,"Bransfield","Summer",0,0,"Yes"
1995,"Bransfield","Summer",0,0,"Yes"
1996,"Bransfield","Summer",0,0,"No"
1997,"Bransfield","Summer",13,1.42239987709904e-05,"No"
1997,"Drake","Summer",10284,0.00320789081919506,"No"
1998,"Bransfield","Summer",0,0,"No"
1998,"Drake","Summer",4904,0.00346928819692274,"No"
1999,"Bransfield","Summer",127,0.000268260834391534,"No"
1999,"Drake","Summer",8082,0.0136242134370147,"No"
2000,"Bransfield","Summer",231,0.000118742192962742,"No"
2000,"Drake","Summer",13555,0.00745729334695391,"No"
2001,"Bransfield","Summer",213,0.000439848555249936,"No"
2001,"Drake","Summer",2266,0.00486114420225473,"No"
2002,"Bransfield","Summer",57,0.00044218885808347,"No"
2002,"Drake","Summer",24,0.000109167767759717,"No"
2003,"Bransfield","Summer",0,0,"No"
2003,"Drake","Summer",3893,0.00372918168883684,"No"
2004,"Bransfield","Summer",3,6.25868016040894e-05,"No"
2004,"Drake","Summer",2290,0.00923065906289394,"No"
2005,"Bransfield","Summer",0,0,"No"
2005,"Drake","Summer",322,0.000455706013987444,"No"
2006,"Bransfield","Summer",280,0.000286323200694153,"No"
2006,"Drake","Summer",654,0.00069503003972156,"No"
2007,"Bransfield","Summer",19,1.22383611035338e-05,"No"
2007,"Drake","Summer",1843,0.000909989795661143,"No"
2008,"Bransfield","Summer",0,0,"No"
2008,"Drake","Summer",218,0.000107092406378219,"No"
2009,"Bransfield","Summer",11,1.39598407292935e-05,"No"
2009,"Drake","Summer",2571,0.00150460927434669,"No"
2010,"Bransfield","Summer",3613,0.0158595757661111,"No"
2010,"Drake","Summer",54,0.000185482729652652,"No"
2011,"Bransfield","Summer",200,0.00017461007036384,"No"
2011,"Drake","Summer",41,3.10766287103098e-05,"No"
2012,"Bransfield","Summer",1556,0.00180671764982993,"Yes"
2012,"Bransfield","Winter",3093,0.055014366762656,"No"
2012,"Drake","Summer",579,0.000548418048542183,"Yes"
2012,"Drake","Winter",17101,0.273733372216506,"No"
2013,"Bransfield","Summer",2057,0.00438483589548302,"Yes"
2013,"Drake","Summer",8777,0.0150267929001921,"Yes"
2014,"Bransfield","Summer",3072,0.00654847635922403,"Yes"
2014,"Bransfield","Winter",54564,0.0151835049837776,"No"
2014,"Drake","Summer",11702,0.020034582490378,"Yes"
2014,"Drake","Winter",46288,0.206835778012248,"No"
2015,"Bransfield","Summer",2291,0.00266014790215962,"Yes"
2015,"Bransfield","Winter",34709,0.347603921782062,"No"
2015,"Drake","Summer",340,0.000322041686535997,"Yes"
2015,"Drake","Winter",65006,1.20137521980827,"No"
