
Iterations = 1000025:1125000
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 5000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[1]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[2]   6.308e-06 7.104e-06 5.800e-08      5.829e-08
hr[3]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[4]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[5]   1.751e-03 1.928e-03 1.574e-05      1.594e-05
hr[6]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[7]   2.971e-04 3.437e-04 2.806e-06      2.867e-06
hr[8]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[9]   0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[10]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[11]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[12]  1.422e-05 0.000e+00 0.000e+00      0.000e+00
hr[13]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[14]  2.683e-04 0.000e+00 0.000e+00      0.000e+00
hr[15]  1.187e-04 0.000e+00 0.000e+00      0.000e+00
hr[16]  4.398e-04 0.000e+00 0.000e+00      0.000e+00
hr[17]  4.422e-04 0.000e+00 0.000e+00      0.000e+00
hr[18]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[19]  6.259e-05 0.000e+00 0.000e+00      0.000e+00
hr[20]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[21]  2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[22]  1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[23]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[24]  1.396e-05 0.000e+00 0.000e+00      0.000e+00
hr[25]  1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[26]  1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[27]  2.694e-03 2.996e-03 2.446e-05      2.446e-05
hr[28]  6.598e-03 7.470e-03 6.099e-05      6.148e-05
hr[29]  4.013e-03 4.458e-03 3.640e-05      3.590e-05
hr[30]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[31]  3.208e-03 0.000e+00 0.000e+00      0.000e+00
hr[32]  3.469e-03 0.000e+00 0.000e+00      0.000e+00
hr[33]  1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[34]  7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[35]  4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[36]  1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[37]  3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[38]  9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[39]  4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[40]  6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[41]  9.100e-04 0.000e+00 0.000e+00      0.000e+00
hr[42]  1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[43]  1.505e-03 0.000e+00 0.000e+00      0.000e+00
hr[44]  1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[45]  3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[46]  8.260e-04 9.146e-04 7.468e-06      7.467e-06
hr[47]  2.256e-02 2.539e-02 2.073e-04      2.122e-04
hr[48]  3.024e-02 3.380e-02 2.760e-04      2.760e-04
hr[49]  4.770e-04 5.441e-04 4.443e-06      4.639e-06
hr[50]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[51]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[52]  2.683e-04 0.000e+00 0.000e+00      0.000e+00
hr[53]  1.187e-04 0.000e+00 0.000e+00      0.000e+00
hr[54]  4.398e-04 0.000e+00 0.000e+00      0.000e+00
hr[55]  4.422e-04 0.000e+00 0.000e+00      0.000e+00
hr[56]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[57]  6.259e-05 0.000e+00 0.000e+00      0.000e+00
hr[58]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[59]  2.863e-04 0.000e+00 0.000e+00      0.000e+00
hr[60]  1.224e-05 0.000e+00 0.000e+00      0.000e+00
hr[61]  1.396e-05 0.000e+00 0.000e+00      0.000e+00
hr[62]  1.586e-02 0.000e+00 0.000e+00      0.000e+00
hr[63]  1.746e-04 0.000e+00 0.000e+00      0.000e+00
hr[64]  2.721e-03 3.118e-03 2.546e-05      2.511e-05
hr[65]  6.511e-03 7.071e-03 5.773e-05      5.774e-05
hr[66]  3.469e-03 0.000e+00 0.000e+00      0.000e+00
hr[67]  1.362e-02 0.000e+00 0.000e+00      0.000e+00
hr[68]  7.457e-03 0.000e+00 0.000e+00      0.000e+00
hr[69]  4.861e-03 0.000e+00 0.000e+00      0.000e+00
hr[70]  1.092e-04 0.000e+00 0.000e+00      0.000e+00
hr[71]  3.729e-03 0.000e+00 0.000e+00      0.000e+00
hr[72]  9.231e-03 0.000e+00 0.000e+00      0.000e+00
hr[73]  4.557e-04 0.000e+00 0.000e+00      0.000e+00
hr[74]  6.950e-04 0.000e+00 0.000e+00      0.000e+00
hr[75]  1.071e-04 0.000e+00 0.000e+00      0.000e+00
hr[76]  1.855e-04 0.000e+00 0.000e+00      0.000e+00
hr[77]  3.108e-05 0.000e+00 0.000e+00      0.000e+00
hr[78]  8.303e-04 9.466e-04 7.729e-06      7.544e-06
hr[79]  2.245e-02 2.654e-02 2.167e-04      2.217e-04
hr[80]  2.965e-02 3.244e-02 2.649e-04      2.668e-04
hr[81]  4.888e-04 5.451e-04 4.451e-06      4.694e-06
hr[82]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[83]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[84]  6.386e-06 7.163e-06 5.849e-08      5.849e-08
hr[85]  1.138e-04 1.302e-04 1.063e-06      1.063e-06
hr[86]  3.842e-05 4.227e-05 3.452e-07      3.457e-07
hr[87]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[88]  0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[89]  1.766e-03 1.944e-03 1.588e-05      1.577e-05
