cal.yr,gSSMU,season,survey,catch,fraction
1996,1,S,6093501.913,0,0.00%
1997,1,S,1614535.769,60,0.00%
1998,1,S,2733918.233,0,0.00%
1999,1,S,836319.9844,510,0.06%
2000,1,S,3436631.285,403,0.01%
2001,1,S,855465.4189,658,0.08%
2002,1,S,227715.7581,376,0.17%
2003,1,S,2349293.873,242,0.01%
2004,1,S,84676.81637,54,0.06%
2005,1,S,644320.7172,41,0.01%
2006,1,S,1727537.629,323,0.02%
2007,1,S,2742561.42,57,0.00%
2008,1,S,4595927.25,0,0.00%
2009,1,S,1391996.831,419,0.03%
2010,1,S,441470.637,7298,1.65%
2011,1,S,2023423.237,11618,0.57%
2014,1,W,6348340.151,74167,1.17%
2015,1,W,176393.8578,55816,31.64%
1996,2,S,7133857.407,25301,0.36%
1997,2,S,13878476.36,22875,0.17%
1998,2,S,6119407.629,14555,0.24%
1999,2,S,2568069.117,18304,0.71%
2000,2,S,7868964.668,25695,0.33%
2001,2,S,2017997.862,10431,0.52%
2002,2,S,951735.1568,4759,0.50%
2003,2,S,4519289.487,10676,0.24%
2004,2,S,1073994.538,10674,0.99%
2005,2,S,3058936.153,3559,0.12%
2006,2,S,4073553.959,14062,0.35%
2007,2,S,8767749.102,11328,0.13%
2008,2,S,8812459.152,1746,0.02%
2009,2,S,7397375.129,6776,0.09%
2010,2,S,1590915.753,7039,0.44%
2011,2,S,7023496.4,552,0.01%
2014,2,W,306971.6955,0,0.00%
