cal.yr,season,sam,LKB,gSSMU,catch,fraction
1980,S,-0.676833333,1291502,1,13,0.0%
1981,S,-0.414116667,1291502,1,111,0.0%
1982,S,0.468166667,1818980,1,0,0.0%
1983,S,-0.955833333,1291502,1,2,0.0%
1984,S,0.1665,1818980,1,217,0.0%
1985,S,-0.37125,1291502,1,36,0.0%
1986,S,0.098166667,1818980,1,48,0.0%
1987,S,-0.136833333,1291502,1,13,0.0%
1988,S,0.251166667,1818980,1,39,0.0%
1989,S,0.21,1818980,1,21,0.0%
1990,S,0.245833333,1818980,1,1028,0.1%
1991,S,0.001166667,1818980,1,438,0.0%
1992,S,-1.010733333,1291502,1,97,0.0%
1993,S,-0.319,1291502,1,40,0.0%
1994,S,0.779666667,1818980,1,146,0.0%
1995,S,0.231833333,1818980,1,0,0.0%
2012,S,0.603666667,1818980,1,3969,0.2%
2013,S,-0.125166667,1291502,1,56758,4.4%
2014,S,-0.01695,1291502,1,36450,2.8%
2015,S,0.571666667,1818980,1,55804,3.1%
1980,S,-0.676833333,3045776,2,1743,0.1%
1981,S,-0.414116667,3045776,2,3526,0.1%
1982,S,0.468166667,7265616,2,1301,0.0%
1983,S,-0.955833333,3045776,2,1383,0.0%
1984,S,0.1665,7265616,2,19997,0.3%
1985,S,-0.37125,3045776,2,11057,0.4%
1986,S,0.098166667,7265616,2,33837,0.5%
1987,S,-0.136833333,3045776,2,58891,1.9%
1988,S,0.251166667,7265616,2,61666,0.8%
1989,S,0.21,7265616,2,92878,1.3%
1990,S,0.245833333,7265616,2,39236,0.5%
1991,S,0.001166667,7265616,2,52220,0.7%
1992,S,-1.010733333,3045776,2,51869,1.7%
1993,S,-0.319,3045776,2,26261,0.9%
1994,S,0.779666667,7265616,2,26019,0.4%
1995,S,0.231833333,7265616,2,20827,0.3%
2012,S,0.603666667,7265616,2,5752,0.1%
2013,S,-0.125166667,3045776,2,21291,0.7%
2014,S,-0.01695,3045776,2,17547,0.6%
2015,S,0.571666667,7265616,2,8972,0.1%
