SPECIES,PROJECT,sex,x_var,y_var,first_year,mid_year,last_year,lm_slope,lm_p,n_first,n_second,mean_y_first,mean_y_second,sd_y_first,sd_y_second,Diff_range,CVdiff
CHPE,COPA,FEMALE,cal.yr,DAY_index,1991,2001,2012,-0.0872,0.0098,11,9,0.325,-0.397,1.084,0.764,0.722,0.722
CHPE,COPA,FEMALE,cal.yr,DAYmean,1991,2001,2012,-0.2803,0.0098,11,9,325.762,323.444,3.484,2.455,2.3179999999999836,0.721
CHPE,COPA,FEMALE,DAYmean,WTmean,1991,2001,2012,-11.895,0.019,11,9,3479.169,3520.247,46.201,95.711,-41.077999999999975,0.558
CHPE,COPA,FEMALE,index,DAY_index,1991,2001,2012,-0.5192,0.019,11,9,0.325,-0.397,1.084,0.764,0.722,0.722
CHPE,COPA,FEMALE,index,DAYmean,1991,2001,2012,-1.6685,0.019,11,9,325.762,323.444,3.484,2.455,2.3179999999999836,0.721
CHPE,COPA,FEMALE,WTmean,DAY_index,1991,2001,2012,-0.0071,0.019,11,9,0.325,-0.397,1.084,0.764,0.722,0.722
CHPE,COPA,MALE,cal.yr,DAY_index,1991,2001,2012,-0.0872,0.0098,11,9,0.325,-0.397,1.084,0.764,0.722,0.722
CHPE,COPA,MALE,cal.yr,DAYmean,1991,2001,2012,-0.2803,0.0098,11,9,325.762,323.444,3.484,2.455,2.3179999999999836,0.721
CHPE,COPA,MALE,cal.yr,index,1991,2001,2012,0.0797,0.0205,11,9,-0.292,0.357,0.884,1.067,-0.649,0.649
CHPE,COPA,MALE,cal.yr,WTmean,1991,2001,2012,6.7843,0.0205,11,9,3905.952,3961.218,75.261,90.874,-55.26599999999962,0.649
CHPE,COPA,MALE,DAYmean,WTmean,1991,2001,2012,-12.0362,0.0443,11,9,3905.952,3961.218,75.261,90.874,-55.26599999999962,0.649
CHPE,COPA,MALE,index,DAY_index,1991,2001,2012,-0.4541,0.0443,11,9,0.325,-0.397,1.084,0.764,0.722,0.722
CHPE,COPA,MALE,index,DAYmean,1991,2001,2012,-1.4593,0.0443,11,9,325.762,323.444,3.484,2.455,2.3179999999999836,0.721
CHPE,COPA,MALE,WTmean,DAY_index,1991,2001,2012,-0.0053,0.0443,11,9,0.325,-0.397,1.084,0.764,0.722,0.722
CHPE,CS,FEMALE,DAYmean,WTmean,1999,2007,2015,-13.1018,0.0278,9,8,3451.32,3449.059,82.033,99.054,2.2609999999999673,0.026
CHPE,CS,FEMALE,index,DAY_index,1999,2007,2015,-0.5324,0.0278,9,8,-0.192,0.216,1.059,0.951,-0.40800000000000003,0.408
CHPE,CS,FEMALE,index,DAYmean,1999,2007,2015,-1.8934,0.0278,9,8,327.549,329,3.765,3.381,-1.4510000000000218,0.408
CHPE,CS,FEMALE,WTmean,DAY_index,1999,2007,2015,-0.0061,0.0278,9,8,-0.192,0.216,1.059,0.951,-0.40800000000000003,0.408
CHPE,CS,MALE,DAYmean,WTmean,1999,2007,2015,-21.5889,5.13e-4,9,8,3858.084,3792.723,117.356,74.621,65.36099999999988,0.639
CHPE,CS,MALE,index,DAY_index,1999,2007,2015,-0.7509,5.13e-4,9,8,-0.192,0.216,1.059,0.951,-0.40800000000000003,0.408
CHPE,CS,MALE,index,DAYmean,1999,2007,2015,-2.6705,5.13e-4,9,8,327.549,329,3.765,3.381,-1.4510000000000218,0.408
CHPE,CS,MALE,WTmean,DAY_index,1999,2007,2015,-0.0073,5.13e-4,9,8,-0.192,0.216,1.059,0.951,-0.40800000000000003,0.408
