SPECIES,PROJECT,x_var,y_var,first_year,mid_year,last_year,lm_slope,lm_p,n_first,n_second,mean_y_first,mean_y_second,sd_y_first,sd_y_second,Diff_range,CVdiff
ADPE,COPA,CIDmean,DAY_index,1981,1998,2015,-0.30620000000000003,1.4400000000000001e-27,16,16,-0.029,0.029,0.955,1.074,-0.058,0.058
ADPE,COPA,DAY_index,CID_index,1981,1998,2015,-0.9907,1.4400000000000001e-27,16,16,0.029,-0.029,0.966,1.064,0.058,0.058
ADPE,COPA,DAYmean,CID_index,1981,1998,2015,-0.3074,1.4400000000000001e-27,16,16,0.029,-0.029,0.966,1.064,0.058,0.058
ADPE,COPA,DAYmean,CIDmean,1981,1998,2015,-0.9946,1.4400000000000001e-27,16,16,61.812,61.625,3.124,3.442,0.1869999999999976,0.058
CHPE,CS,CIDmean,DAY_index,1997,2006,2015,-0.3345,4.93e-16,10,9,-0.333,0.37,0.982,0.934,-0.7030000000000001,0.703
CHPE,CS,DAY_index,CID_index,1997,2006,2015,-0.9904,4.93e-16,10,9,0.336,-0.373,0.961,0.955,0.7090000000000001,0.709
CHPE,CS,DAYmean,CID_index,1997,2006,2015,-0.3283,4.93e-16,10,9,0.336,-0.373,0.961,0.955,0.7090000000000001,0.709
CHPE,CS,DAYmean,CIDmean,1997,2006,2015,-0.972,4.93e-16,10,9,40.1,38,2.846,2.828,2.1000000000000014,0.709
GEPE,COPA,CIDmean,DAY_index,1997,2006,2015,-0.0966,1.2299999999999998e-23,10,8,-0.233,0.291,0.507,1.387,-0.524,0.524
GEPE,COPA,DAY_index,CID_index,1997,2006,2015,-0.9992,1.2299999999999998e-23,10,8,0.229,-0.286,0.503,1.391,0.515,0.515
GEPE,COPA,DAYmean,CID_index,1997,2006,2015,-0.0973,1.2299999999999998e-23,10,8,0.229,-0.286,0.503,1.391,0.515,0.515
GEPE,COPA,DAYmean,CIDmean,1997,2006,2015,-1.0059,1.2299999999999998e-23,10,8,59.2,53.875,5.203,14.387,5.325000000000003,0.515
GEPE,CS,CIDmean,DAY_index,1998,2006,2015,-0.1154,2.51e-22,9,9,-0.302,0.302,0.903,1.05,-0.604,0.604
GEPE,CS,DAY_index,CID_index,1998,2006,2015,-0.9988,2.51e-22,9,9,0.302,-0.302,0.891,1.062,0.604,0.604
GEPE,CS,DAYmean,CID_index,1998,2006,2015,-0.1157,2.51e-22,9,9,0.302,-0.302,0.891,1.062,0.604,0.604
GEPE,CS,DAYmean,CIDmean,1998,2006,2015,-1.0007,2.51e-22,9,9,45.111,39.889,7.705,9.185,5.221999999999994,0.604
