SPECIES,PROJECT,x_var,y_var,first_year,mid_year,last_year,lm_slope,lm_p,n_first,n_second,mean_y_first,mean_y_second,sd_y_first,sd_y_second,Diff_range,CVdiff
CHPE,COPA,DAY_index,EGG_index,1991,2001,2012,-0.6294,0.00389,8,11,-0.308,0.224,0.638,1.176,-0.532,0.532
CHPE,COPA,DAYmean,EGG_index,1991,2001,2012,-0.1463,0.00389,8,11,-0.308,0.224,0.638,1.176,-0.532,0.532
CHPE,COPA,DAYmean,EGGmean,1991,2001,2012,-0.0034,0.00389,8,11,1.063,1.075,0.015,0.028,-0.01200000000000001,0.511
CHPE,COPA,EGGmean,DAY_index,1991,2001,2012,-26.8171,0.00389,8,11,0.252,-0.184,0.942,1.045,0.436,0.436
GEPE,COPA,DAY_index,EGG_index,1988,2000,2012,-0.5546,0.00812,12,11,-0.332,0.258,1.072,0.936,-0.5900000000000001,0.59
GEPE,COPA,DAYmean,EGG_index,1988,2000,2012,-0.064,0.00812,12,11,-0.332,0.258,1.072,0.936,-0.5900000000000001,0.59
GEPE,COPA,DAYmean,EGGmean,1988,2000,2012,-0.0017,0.00812,12,11,1.079,1.094,0.028,0.025,-0.015000000000000124,0.573
GEPE,COPA,EGGmean,DAY_index,1988,2000,2012,-19.9105,0.00812,12,11,-0.014,0.015,0.922,1.124,-0.028999999999999998,0.029
GEPE,CS,cal.yr,EGG_index,1997,2006,2015,0.0865,0.0347,10,9,-0.291,0.324,1.247,0.525,-0.615,0.615
GEPE,CS,cal.yr,EGGmean,1997,2006,2015,0.0017,0.0347,10,9,1.074,1.086,0.025,0.011,-0.01200000000000001,0.595
