SPECIES,PROJECT,x_var,y_var,first_year,mid_year,last_year,lm_slope,lm_p,n_first,n_second,mean_y_first,mean_y_second,sd_y_first,sd_y_second,Diff_range,CVdiff
ADPE,COPA,AGE_index,DAY_index,1982,1999,2016,0.3672,0.0459,14,16,0.113,-0.099,0.881,1.113,0.21200000000000002,0.212
ADPE,COPA,AGE_index,DAYmean,1982,1999,2016,1.2915,0.0459,14,16,28.517,27.775,3.098,3.915,0.7420000000000009,0.211
ADPE,COPA,AGEmean,DAYmean,1982,1999,2016,0.7201,0.0459,14,16,28.517,27.775,3.098,3.915,0.7420000000000009,0.211
ADPE,COPA,DAY_index,AGEmean,1982,1999,2016,0.6586,0.0459,14,16,89.585,88.878,0.972,2.27,0.7069999999999936,0.394
ADPE,COPA,DAY_index,WTmean,1982,1999,2016,-75.6391,3.45e-4,14,16,3167.858,3141.601,107.512,139.174,26.257000000000062,0.212
ADPE,COPA,WTmean,DAYmean,1982,1999,2016,-0.0173,3.45e-4,14,16,28.517,27.775,3.098,3.915,0.7420000000000009,0.211
ADPE,COPA,index,DAY_index,1982,1999,2016,-0.61,3.45e-4,14,16,0.113,-0.099,0.881,1.113,0.21200000000000002,0.212
ADPE,COPA,index,DAYmean,1982,1999,2016,-2.1453,3.45e-4,14,16,28.517,27.775,3.098,3.915,0.7420000000000009,0.211
CHPE,CS,DAY_index,WTmean,1997,2006,2016,-65.7148,8.34e-4,10,10,3140.812,3141.077,115.151,78.086,-0.2650000000003274,0.003
CHPE,CS,WTmean,DAYmean,1997,2006,2016,-0.0191,8.34e-4,10,10,53.092,53.86,2.279,3.069,-0.7680000000000007,0.289
CHPE,CS,index,DAY_index,1997,2006,2016,-0.6863,8.34e-4,10,10,-0.144,0.144,0.857,1.154,-0.288,0.288
CHPE,CS,index,DAYmean,1997,2006,2016,-1.8258,8.34e-4,10,10,53.092,53.86,2.279,3.069,-0.7680000000000007,0.289
GEPE,CS,AGE_index,WTmean,1999,2007,2016,182.8779,0.0285,9,8,4256.068,4102.226,245.248,434.207,153.84200000000055,0.46
GEPE,CS,WTmean,AGEmean,1999,2007,2016,0.0024,0.0285,9,8,84.26,84.605,0.55,2.293,-0.34499999999999886,0.219
GEPE,CS,index,AGE_index,1999,2007,2016,0.5147,0.0285,9,8,-0.103,0.116,0.349,1.455,-0.219,0.219
GEPE,CS,index,AGEmean,1999,2007,2016,0.8111,0.0285,9,8,84.26,84.605,0.55,2.293,-0.34499999999999886,0.219
