SPECIES,PROJECT,x_var,y_var,first_year,mid_year,last_year,lm_slope,lm_p,n_first,n_second,mean_y_first,mean_y_second,sd_y_first,sd_y_second,Diff_range,CVdiff
ADPE,COPA,BS_ind_mean,PH_index,1978,1995,2013,0.9566,1.71e-5,13,18,-0.307,0.222,1.135,0.855,-0.529,0.529
ADPE,COPA,BSmean,BS_ind_mean,1978,1995,2013,4.4462,3.0999999999999995e-37,13,18,-0.193,-0.076,0.587,0.819,-0.117,0.162
ADPE,COPA,BSmean,BS_index,1978,1995,2013,6.1582,3.0999999999999995e-37,13,18,-0.094,0.068,0.812,1.135,-0.162,0.162
ADPE,COPA,BSmean,PHS_ind_mean,1978,1995,2013,2.7655,1.16e-5,13,18,0.921,1.259,0.727,0.547,-0.33799999999999986,0.528
ADPE,COPA,BSmean,PH_index,1978,1995,2013,4.3193,1.16e-5,13,18,-0.307,0.222,1.135,0.855,-0.529,0.529
ADPE,COPA,PHS_ind_mean,BS_ind_mean,1978,1995,2013,0.7788,1.71e-5,13,18,-0.193,-0.076,0.587,0.819,-0.117,0.162
ADPE,COPA,PHS_ind_mean,BS_index,1978,1995,2013,1.0787,1.71e-5,13,18,-0.094,0.068,0.812,1.135,-0.162,0.162
ADPE,COPA,PHSmean,BS_ind_mean,1978,1995,2013,4.0393,1.62e-5,13,18,-0.193,-0.076,0.587,0.819,-0.117,0.162
ADPE,COPA,PHSmean,BS_index,1978,1995,2013,5.5945,1.62e-5,13,18,-0.094,0.068,0.812,1.135,-0.162,0.162
ADPE,COPA,PHSmean,BSmean,1978,1995,2013,0.9163,1.21e-5,13,18,0.458,0.487,0.133,0.183,-0.02899999999999997,0.179
ADPE,COPA,PHSmean,PHS_ind_mean,1978,1995,2013,5.131,6e-27,13,18,0.921,1.259,0.727,0.547,-0.33799999999999986,0.528
ADPE,COPA,PHSmean,PH_index,1978,1995,2013,8.0139,6e-27,13,18,-0.307,0.222,1.135,0.855,-0.529,0.529
ADPE,COPA,PH_index,BS_index,1978,1995,2013,0.6906,1.71e-5,13,18,-0.094,0.068,0.812,1.135,-0.162,0.162
CHPE,CS,BS_ind_mean,PH_index,1998,2007,2016,0.9326,0.0118,10,9,-0.021,0.024,0.974,1.087,-0.045,0.045
CHPE,CS,BSmean,BS_ind_mean,1998,2007,2016,4.546,2.68e-17,10,9,-0.005,-0.364,0.494,0.688,0.359,0.593
CHPE,CS,BSmean,BS_index,1998,2007,2016,7.5104,2.68e-17,10,9,0.281,-0.312,0.816,1.137,0.593,0.593
CHPE,CS,BSmean,PHS_ind_mean,1998,2007,2016,1.9224,0.0114,10,9,1.194,1.214,0.437,0.488,-0.020000000000000018,0.045
CHPE,CS,BSmean,PH_index,1998,2007,2016,4.2864,0.0114,10,9,-0.021,0.024,0.974,1.087,-0.045,0.045
CHPE,CS,PHS_ind_mean,BS_ind_mean,1998,2007,2016,0.7619,0.0118,10,9,-0.005,-0.364,0.494,0.688,0.359,0.593
CHPE,CS,PHS_ind_mean,BS_index,1998,2007,2016,1.2587,0.0118,10,9,0.281,-0.312,0.816,1.137,0.593,0.593
CHPE,CS,PHSmean,BS_ind_mean,1998,2007,2016,4.6425,0.00743,10,9,-0.005,-0.364,0.494,0.688,0.359,0.593
CHPE,CS,PHSmean,BS_index,1998,2007,2016,7.6699,0.00743,10,9,0.281,-0.312,0.816,1.137,0.593,0.593
CHPE,CS,PHSmean,BSmean,1998,2007,2016,1.0095,0.00779,10,9,0.499,0.423,0.12,0.141,0.07600000000000001,0.575
CHPE,CS,PHSmean,PHS_ind_mean,1998,2007,2016,5.7417,6.26e-16,10,9,1.194,1.214,0.437,0.488,-0.020000000000000018,0.045
CHPE,CS,PHSmean,PH_index,1998,2007,2016,12.8024,6.26e-16,10,9,-0.021,0.024,0.974,1.087,-0.045,0.045
CHPE,CS,PH_index,BS_index,1998,2007,2016,0.5645,0.0118,10,9,0.281,-0.312,0.816,1.137,0.593,0.593
GEPE,COPA,BS_ind_mean,PH_index,1992,2002,2013,1.8329,3.92e-5,11,11,-0.032,0.032,0.641,1.299,-0.064,0.064
GEPE,COPA,BSmean,BS_ind_mean,1992,2002,2013,4.6909,6.51e-23,11,11,0.912,0.883,0.287,0.528,0.029000000000000026,0.07
GEPE,COPA,BSmean,BS_index,1992,2002,2013,11.2987,6.51e-23,11,11,0.035,-0.035,0.692,1.272,0.07,0.07
GEPE,COPA,BSmean,PHS_ind_mean,1992,2002,2013,4.4129,5.15e-5,11,11,2.162,2.195,0.331,0.671,-0.03299999999999992,0.064
GEPE,COPA,BSmean,PH_index,1992,2002,2013,8.5445,5.15e-5,11,11,-0.032,0.032,0.641,1.299,-0.064,0.064
GEPE,COPA,PHS_ind_mean,BS_ind_mean,1992,2002,2013,0.6117,3.92e-5,11,11,0.912,0.883,0.287,0.528,0.029000000000000026,0.07
GEPE,COPA,PHS_ind_mean,BS_index,1992,2002,2013,1.4734,3.92e-5,11,11,0.035,-0.035,0.692,1.272,0.07,0.07
GEPE,COPA,PHSmean,BS_ind_mean,1992,2002,2013,5.8132,6.55e-5,11,11,0.912,0.883,0.287,0.528,0.029000000000000026,0.07
GEPE,COPA,PHSmean,BS_index,1992,2002,2013,14.002,6.55e-5,11,11,0.035,-0.035,0.692,1.272,0.07,0.07
GEPE,COPA,PHSmean,BSmean,1992,2002,2013,1.2387,6.03e-5,11,11,0.71,0.698,0.058,0.114,0.01200000000000001,0.136
GEPE,COPA,PHSmean,PHS_ind_mean,1992,2002,2013,9.4055,6.19e-14,11,11,2.162,2.195,0.331,0.671,-0.03299999999999992,0.064
GEPE,COPA,PHSmean,PH_index,1992,2002,2013,18.2112,6.19e-14,11,11,-0.032,0.032,0.641,1.299,-0.064,0.064
GEPE,COPA,PH_index,BS_index,1992,2002,2013,0.761,3.92e-5,11,11,0.035,-0.035,0.692,1.272,0.07,0.07
