SPECIES,PROJECT,x_var,y_var,first_year,mid_year,last_year,lm_slope,lm_p,n_first,n_second,mean_y_first,mean_y_second,sd_y_first,sd_y_second,Diff_range,CVdiff
ADPE,COPA,RECmean,index.rec0,1981,1995,2010,6.4226,1.71e-20,15,15,0.542,-0.542,0.892,0.804,1.084,1.084
ADPE,COPA,RECmean,rec0_mean,1981,1995,2010,5.411,1.71e-20,15,15,-0.763,-1.676,0.752,0.677,0.9129999999999999,1.084
ADPE,COPA,cal.yr,RECmean,1981,1995,2010,-0.0105,3.65e-4,15,15,0.336,0.176,0.159,0.094,0.16000000000000003,1.051
ADPE,COPA,cal.yr,index.REC,1981,1995,2010,-0.0691,3.65e-4,15,15,0.526,-0.526,1.048,0.617,1.052,1.052
ADPE,COPA,cal.yr,index.rec0,1981,1995,2010,-0.0641,0.00116,15,15,0.542,-0.542,0.892,0.804,1.084,1.084
ADPE,COPA,cal.yr,rec0_mean,1981,1995,2010,-0.054,0.00116,15,15,-0.763,-1.676,0.752,0.677,0.9129999999999999,1.084
ADPE,COPA,index.REC,index.rec0,1981,1995,2010,0.9776,1.71e-20,15,15,0.542,-0.542,0.892,0.804,1.084,1.084
ADPE,COPA,rec0_mean,index.REC,1981,1995,2010,1.1604,1.71e-20,15,15,0.526,-0.526,1.048,0.617,1.052,1.052
CHPE,COPA,RECmean,index.rec0,1980,1986,1992,8.8046,1.54e-5,7,5,-0.19,0.265,1.26,0.465,-0.455,0.455
CHPE,COPA,RECmean,rec0_mean,1980,1986,1992,8.2759,1.54e-5,7,5,-1.691,-1.264,1.185,0.437,-0.42700000000000005,0.454
CHPE,COPA,index.REC,index.rec0,1980,1986,1992,0.926,1.54e-5,7,5,-0.19,0.265,1.26,0.465,-0.455,0.455
CHPE,COPA,rec0_mean,index.REC,1980,1986,1992,0.9852,1.54e-5,7,5,-0.112,0.156,1.23,0.653,-0.268,0.268
CHPE,CS,RECmean,index.rec0,1996,2004,2012,9.9026,2.02e-13,9,8,-0.459,0.517,0.851,0.94,-0.976,0.976
CHPE,CS,RECmean,rec0_mean,1996,2004,2012,6.5655,2.02e-13,9,8,-1.778,-1.131,0.564,0.623,-0.647,0.976
CHPE,CS,index.REC,index.rec0,1996,2004,2012,0.98740000000000006,2.02e-13,9,8,-0.459,0.517,0.851,0.94,-0.976,0.976
CHPE,CS,rec0_mean,index.REC,1996,2004,2012,1.4893,2.02e-13,9,8,-0.484,0.545,0.784,0.971,-1.029,1.029
GEPE,COPA,RECmean,index.rec0,1980,1995,2010,5.9256,4.91e-15,16,15,-0.195,0.207,1.248,0.621,-0.402,0.402
GEPE,COPA,RECmean,rec0_mean,1980,1995,2010,6.2543,4.91e-15,16,15,-2,-1.575,1.317,0.655,-0.42500000000000004,0.403
GEPE,COPA,index.REC,index.rec0,1980,1995,2010,0.9396,4.91e-15,16,15,-0.195,0.207,1.248,0.621,-0.402,0.402
GEPE,COPA,rec0_mean,index.REC,1980,1995,2010,0.8902,4.91e-15,16,15,-0.074,0.079,1.263,0.648,-0.153,0.153
GEPE,CS,RECmean,index.rec0,1997,2004,2012,8.2654,1.76e-10,8,8,-0.263,0.263,1.191,0.753,-0.526,0.526
GEPE,CS,RECmean,rec0_mean,1997,2004,2012,7.06,1.76e-10,8,8,-1.839,-1.389,1.017,0.643,-0.44999999999999996,0.527
GEPE,CS,index.REC,index.rec0,1997,2004,2012,0.9745,1.76e-10,8,8,-0.263,0.263,1.191,0.753,-0.526,0.526
GEPE,CS,rec0_mean,index.REC,1997,2004,2012,1.1409,1.76e-10,8,8,-0.176,0.176,1.178,0.828,-0.352,0.352
