"","x"
"1",2
"2",3
"3",3
"4",1
"5",2
"6",2
"7",3
"8",2
"9",2
"10",3
"11",1
"12",2
"13",3
"14",1
"15",1
"16",1
"17",2
"18",3
"19",2
"20",3
"21",1
"22",3
"23",1
"24",1
"25",3
"26",1
"27",1
"28",2
"29",3
"30",3
"31",2
"32",3
"33",1
"34",1
"35",1
"36",2
"37",3
"38",2
"39",3
"40",1
"41",3
"42",1
"43",1
"44",3
"45",1
"46",1
"47",2
"48",2
"49",3
"50",3
"51",3
"52",1
"53",1
"54",1
"55",2
"56",3
"57",2
"58",3
"59",1
"60",3
"61",1
"62",3
"63",1
"64",1
"65",2
"66",3
"67",1
"68",1
"69",1
"70",2
"71",3
"72",2
"73",3
"74",1
"75",1
"76",3
"77",1
"78",1
"79",2
"80",2
"81",3
"82",3
"83",2
"84",3
"85",1
"86",3
"87",3
"88",1
"89",2
"90",2
"91",3
"92",2
"93",2
"94",3
"95",1
"96",2
"97",3
"98",1
"99",1
"100",1
"101",2
"102",3
"103",2
"104",3
"105",1
"106",3
"107",1
"108",1
"109",3
"110",1
"111",1
"112",2
"113",3
"114",2
"115",2
"116",3
"117",1
"118",2
"119",3
"120",1
"121",1
"122",1
"123",2
"124",3
"125",2
"126",3
"127",1
"128",3
"129",1
"130",1
"131",3
"132",1
"133",1
"134",2
"135",3
"136",1
"137",1
"138",1
"139",2
"140",3
"141",2
"142",3
"143",1
"144",3
"145",1
"146",1
"147",3
"148",1
"149",1
"150",2
"151",2
"152",3
"153",3
"154",1
"155",1
"156",1
"157",2
"158",3
"159",2
"160",3
"161",1
"162",3
"163",1
"164",1
"165",3
"166",1
"167",1
"168",2
"169",2
"170",3
"171",3
"172",3
"173",1
"174",3
"175",1
"176",3
"177",1
"178",1
"179",2
"180",3
"181",1
"182",1
"183",1
"184",2
"185",3
"186",2
"187",3
"188",1
"189",3
"190",1
"191",1
"192",3
"193",1
"194",1
"195",2
"196",2
"197",3
"198",3
"199",1
"200",1
"201",2
"202",3
"203",3
"204",1
"205",2
"206",2
"207",3
"208",3
"209",2
"210",2
"211",3
"212",2
"213",2
"214",3
"215",2
"216",2
"217",3
