"","x"
"1",2
"2",1
"3",2
"4",2
"5",2
"6",2
"7",1
"8",1
"9",2
"10",2
"11",2
"12",2
"13",1
"14",2
"15",2
"16",1
"17",2
"18",1
"19",1
"20",2
"21",1
"22",2
"23",2
"24",2
"25",1
"26",2
"27",2
"28",1
"29",2
"30",2
"31",2
"32",1
"33",2
"34",2
"35",1
"36",2
"37",1
"38",1
"39",2
"40",1
"41",2
"42",2
"43",2
"44",1
"45",2
"46",2
"47",1
"48",1
"49",2
"50",2
"51",1
"52",2
"53",2
"54",1
"55",2
"56",1
"57",1
"58",2
"59",1
"60",2
"61",2
"62",1
"63",2
"64",2
"65",1
"66",1
"67",2
"68",2
"69",1
"70",2
"71",1
"72",1
"73",2
"74",1
"75",2
"76",1
"77",2
"78",2
"79",1
"80",1
"81",2
"82",2
"83",2
"84",1
"85",1
"86",1
"87",2
"88",2
"89",2
"90",2
"91",1
"92",1
"93",2
"94",2
"95",2
"96",2
"97",1
"98",2
"99",2
"100",1
"101",2
"102",1
"103",1
"104",2
"105",1
"106",2
"107",2
"108",2
"109",1
"110",2
"111",2
"112",1
"113",1
"114",1
"115",2
"116",2
"117",2
"118",2
"119",1
"120",2
"121",2
"122",1
"123",2
"124",1
"125",1
"126",2
"127",1
"128",2
"129",2
"130",2
"131",1
"132",2
"133",2
"134",1
"135",1
"136",2
"137",2
"138",1
"139",2
"140",1
"141",1
"142",2
"143",1
"144",2
"145",2
"146",2
"147",1
"148",2
"149",2
"150",1
"151",1
"152",2
"153",2
"154",2
"155",2
"156",1
"157",2
"158",1
"159",1
"160",2
"161",1
"162",2
"163",2
"164",2
"165",1
"166",2
"167",2
"168",1
"169",1
"170",2
"171",2
"172",2
"173",1
"174",2
"175",2
"176",1
"177",2
"178",2
"179",1
"180",1
"181",2
"182",2
"183",1
"184",2
"185",1
"186",1
"187",2
"188",1
"189",2
"190",2
"191",2
"192",1
"193",2
"194",2
"195",1
"196",1
"197",2
"198",2
"199",2
"200",2
"201",1
"202",2
"203",2
"204",2
"205",1
"206",1
"207",2
"208",2
"209",2
"210",2
"211",2
"212",2
"213",2
"214",2
"215",2
"216",2
"217",2
